Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Dan Burn,eng ENG,DF,Newcastle Utd,33-002,1992,34.0,34,19,20,12,2,17,32,53.1,15,32,23,9,25,59,180,3,Matches
77,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-169,1994,10.3,13,11,1,9,3,4,10,40.0,6,7,2,5,10,23,13,2,Matches
78,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,22-127,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
79,Moisés Caicedo,ec ECU,"MF,DF",Chelsea,23-190,2001,34.2,103,64,37,51,15,50,80,62.5,30,45,10,35,49,152,52,1,Matches
80,Tom Cairney,sct SCO,MF,Fulham,34-111,1991,5.7,11,5,4,2,5,4,7,57.1,3,5,1,4,4,15,1,1,Matches
81,Jens Cajuste,se SWE,MF,Ipswich Town,25-274,1999,20.1,42,20,19,22,1,21,49,42.9,28,24,9,15,25,67,33,2,Matches
82,Riccardo Calafiori,it ITA,DF,Arsenal,22-357,2002,10.3,26,18,15,9,2,18,29,62.1,11,12,6,6,9,35,25,0,Matches
83,Dominic Calvert-Lewin,eng ENG,FW,Everton,28-056,1997,17.7,9,7,1,4,4,2,6,33.3,4,6,2,4,6,15,19,0,Matches
84,Diego Carlos,br BRA,DF,Aston Villa,32-057,1993,9.2,8,3,6,1,1,4,6,66.7,2,13,7,6,5,13,36,2,Matches
85,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-254,2002,5.1,13,9,4,4,5,6,13,46.2,7,6,1,5,3,16,2,0,Matches
86,Casemiro,br BRA,MF,Manchester Utd,33-077,1992,14.8,77,46,45,23,9,41,66,62.1,25,33,10,23,12,89,48,3,Matches
87,Kaelan Casey,eng ENG,DF,West Ham,20-195,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
88,Matty Cash,pl POL,DF,Aston Villa,27-277,1997,21.0,50,29,26,20,4,25,36,69.4,11,20,8,12,21,71,63,2,Matches
89,Eiran Cashin,ie IRL,DF,Brighton,23-183,2001,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,Matches
90,Timothy Castagne,be BEL,DF,Fulham,29-157,1995,18.3,46,29,28,15,3,26,45,57.8,19,15,6,9,22,68,83,0,Matches
91,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-310,1999,11.8,20,16,7,12,1,12,23,52.2,11,19,9,10,19,39,57,3,Matches
92,Trevoh Chalobah,eng ENG,DF,Chelsea,25-310,1999,9.3,10,6,4,6,0,6,7,85.7,1,5,2,3,9,19,46,1,Matches
93,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-084,1997,8.5,12,5,4,6,2,6,13,46.2,7,8,1,7,3,15,3,0,Matches
94,Youssef Chermiti,pt POR,"FW,MF",Everton,20-352,2004,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
95,Federico Chiesa,it ITA,FW,Liverpool,27-198,1997,0.5,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,1,Matches
96,Ben Chilwell,eng ENG,DF,Crystal Palace,28-141,1996,1.5,4,4,2,2,0,0,3,0.0,3,3,1,2,4,8,11,0,Matches
97,Chiquinho,pt POR,MF,Wolves,25-095,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
98,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,27-222,1997,1.5,1,1,1,0,0,1,3,33.3,2,4,2,2,5,6,2,0,Matches
99,Ryan Christie,sct SCO,MF,Bournemouth,30-078,1995,23.5,54,33,19,27,8,27,64,42.2,37,44,11,33,30,84,51,3,Matches
100,Harry Clarke,eng ENG,DF,Ipswich Town,24-070,2001,4.2,5,3,3,2,0,3,6,50.0,3,5,4,1,4,9,14,3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-169,2000,12.1,28,17,11,9,8,16,32,50.0,16,6,0,6,7,35,29,1,Matches
