Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
36,Antony,br BRA,FW,Betis,25-076,2000,12.2,517,639,80.9,6940,1786,334,380,87.9,126,162,77.8,25,43,58.1,2,3.1,2.5,-1.1,31,29,34,7,50,Matches
37,Anuar,ma MAR,"MF,FW",Valladolid,30-116,1995,16.8,336,419,80.2,5030,813,174,203,85.7,136,164,82.9,13,26,50.0,0,0.5,0.5,-0.5,6,10,3,2,23,Matches
38,Aritz Arambarri,es ESP,DF,Leganés,27-100,1998,2.0,49,67,73.1,1025,258,11,13,84.6,34,41,82.9,4,12,33.3,0,0.0,0.0,0.0,0,1,0,0,2,Matches
39,Mauro Arambarri,uy URU,MF,Getafe,29-223,1995,26.9,552,747,73.9,9481,2246,256,319,80.3,226,282,80.1,55,106,51.9,0,0.6,0.6,-0.6,15,71,3,1,70,Matches
40,Jon Aramburu,ve VEN,DF,Real Sociedad,22-292,2002,25.7,1118,1427,78.3,16656,6847,600,670,89.6,432,556,77.7,47,118,39.8,1,1.1,1.3,-0.1,13,80,11,6,96,Matches
41,Ronald Araújo,uy URU,DF,Barcelona,26-065,1999,7.1,532,586,90.8,10188,2976,154,169,91.1,323,339,95.3,45,63,71.4,1,0.4,0.2,+0.6,4,45,3,0,43,Matches
42,Adu Ares,es ESP,FW,Athletic Club,23-211,2001,0.2,5,9,55.6,64,15,3,5,60.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,1,0,3,Matches
43,Jesús Areso,es ESP,DF,Osasuna,25-313,1999,30.2,1000,1392,71.8,16693,7092,492,557,88.3,402,555,72.4,84,190,44.2,3,2.9,2.1,+0.1,24,87,44,25,95,Matches
44,David Argüelles,es ESP,MF,Getafe,23-130,2002,0.1,3,5,60.0,25,2,3,4,75.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
45,José Arnaiz,es ESP,"MF,FW",Osasuna,30-026,1995,1.4,39,61,63.9,522,149,23,27,85.2,7,13,53.8,4,13,30.8,0,0.1,0.3,-0.1,2,2,3,2,3,Matches
46,Sergio Arribas,es ESP,DF,Betis,22-090,2003,1.0,37,54,68.5,533,210,22,23,95.7,12,20,60.0,2,5,40.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
47,Takuma Asano,jp JPN,"FW,MF",Mallorca,30-182,1994,11.7,148,219,67.6,2071,485,93,110,84.5,48,67,71.6,4,17,23.5,1,0.7,0.6,+0.3,6,8,3,2,20,Matches
48,Raúl Asencio,es ESP,DF,Real Madrid,22-087,2003,15.9,851,908,93.7,14654,4842,375,390,96.2,412,428,96.3,52,74,70.3,1,0.5,0.4,+0.5,5,44,3,0,25,Matches
49,Iago Aspas,es ESP,"FW,MF",Celta Vigo,37-283,1987,18.2,614,817,75.2,9898,2875,322,398,80.9,187,234,79.9,67,99,67.7,4,3.8,3.6,+0.2,34,73,33,3,123,Matches
50,Yaser Asprilla,co COL,"FW,MF",Girona,21-173,2003,12.8,405,559,72.5,7417,2018,190,218,87.2,154,199,77.4,55,103,53.4,0,2.1,2.9,-2.1,21,31,36,9,70,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Ezequiel Ávila,ar ARG,FW,Betis,31-094,1994,7.5,166,238,69.7,2762,614,89,110,80.9,56,78,71.8,16,30,53.3,0,1.0,1.0,-1.0,15,1,11,6,18,Matches
52,Adam Aznou,ma MAR,DF,Valladolid,18-343,2006,8.5,207,289,71.6,3094,1057,115,134,85.8,71,102,69.6,14,31,45.2,0,0.1,0.1,-0.1,4,15,1,0,22,Matches
53,César Azpilicueta,es ESP,DF,Atlético Madrid,35-256,1989,8.2,498,579,86.0,7818,3049,251,269,93.3,210,236,89.0,26,58,44.8,0,0.0,0.4,0.0,2,38,4,1,55,Matches
54,Papa Ba,es ESP,MF,Girona,20-241,2004,0.5,5,13,38.5,79,7,3,8,37.5,1,2,50.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
55,Loïc Bade,fr FRA,DF,Sevilla,25-030,2000,28.7,1526,1778,85.8,30374,11537,527,561,93.9,836,889,94.0,157,296,53.0,1,0.7,0.2,+0.3,4,87,3,0,59,Matches
56,Alex Baena,es ESP,MF,Villarreal,23-295,2001,26.2,793,1191,66.6,16179,6106,287,360,79.7,371,504,73.6,125,255,49.0,8,11.0,11.8,-3.0,88,90,66,16,175,Matches
57,Juma Bah,sl SLE,DF,Valladolid,19-030,2006,9.6,330,407,81.1,6294,2123,118,131,90.1,177,191,92.7,31,73,42.5,0,0.0,0.0,0.0,1,15,0,0,13,Matches
58,Eric Bailly,ci CIV,DF,Villarreal,31-029,1994,6.9,280,320,87.5,5019,1914,103,109,94.5,150,165,90.9,23,41,56.1,0,0.0,0.0,0.0,0,18,0,0,18,Matches
59,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,20-201,2004,10.2,285,398,71.6,5648,1575,112,140,80.0,122,151,80.8,47,86,54.7,0,0.2,0.3,-0.2,6,28,8,0,39,Matches
60,Cédric Bakambu,cd COD,FW,Betis,34-030,1991,6.9,68,105,64.8,787,175,48,64,75.0,14,25,56.0,1,3,33.3,2,0.6,0.8,+1.4,8,9,5,0,12,Matches
61,Alejandro Balde,es ESP,DF,Barcelona,21-205,2003,23.1,1157,1321,87.6,17172,3626,638,686,93.0,451,497,90.7,39,65,60.0,4,3.4,2.7,+0.6,26,47,37,11,86,Matches
62,Iván Balliu,al ALB,DF,Rayo Vallecano,33-130,1992,11.0,415,547,75.9,6787,2871,210,232,90.5,171,218,78.4,27,69,39.1,0,0.5,0.3,-0.5,6,35,5,3,41,Matches
63,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,29-046,1996,9.0,287,364,78.8,4015,1041,170,197,86.3,85,102,83.3,14,24,58.3,1,1.8,1.6,-0.8,12,20,13,6,30,Matches
64,Adrian Baquerin,es ESP,FW,Valladolid,18-068,2007,0.1,3,3,100.0,37,10,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches
65,Valentín Barco,ar ARG,"DF,FW",Sevilla,20-292,2004,3.2,139,191,72.8,2139,895,77,88,87.5,38,53,71.7,13,30,43.3,0,0.6,0.3,-0.6,6,12,3,0,13,Matches
66,Borna Barišić,hr CRO,DF,Leganés,32-182,1992,0.1,3,4,75.0,48,2,1,1,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
67,Kike Barja,es ESP,"FW,MF",Osasuna,28-040,1997,2.9,65,101,64.4,1200,382,29,36,80.6,23,33,69.7,10,18,55.6,0,0.8,1.0,-0.8,8,3,7,6,3,Matches
68,Enzo Barrenechea,ar ARG,MF,Valencia,23-354,2001,21.3,1003,1170,85.7,17345,4839,469,518,90.5,428,474,90.3,90,133,67.7,2,0.9,1.0,+1.1,14,130,7,0,115,Matches
69,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,23-135,2001,12.8,340,478,71.1,5658,1271,187,224,83.5,100,140,71.4,41,64,64.1,3,1.8,2.2,+1.2,15,22,19,3,44,Matches
70,Pablo Barrios,es ESP,MF,Atlético Madrid,21-330,2003,25.2,1271,1476,86.1,20418,5564,666,727,91.6,489,539,90.7,86,135,63.7,4,1.8,1.7,+2.2,25,145,22,4,140,Matches
71,Thierno Barry,fr FRA,FW,Villarreal,22-202,2002,24.3,198,317,62.5,2821,504,108,158,68.4,69,113,61.1,9,17,52.9,3,2.7,1.5,+0.3,21,14,12,1,27,Matches
72,Marc Bartra,es ESP,DF,Betis,34-116,1991,20.5,845,1043,81.0,17004,5787,286,304,94.1,437,485,90.1,110,224,49.1,1,0.1,0.2,+0.9,3,52,5,1,58,Matches
73,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19-302,2005,0.0,2,4,50.0,53,0,1,1,100.0,0,0,,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
74,Augusto Batalla,ar ARG,GK,Rayo Vallecano,29-011,1996,29.0,723,1073,67.4,21312,15825,108,109,99.1,370,375,98.7,244,583,41.9,0,0.0,0.1,0.0,1,23,1,0,2,Matches
75,Rafael Bauza,es ESP,MF,Espanyol,20-101,2005,2.0,46,54,85.2,779,192,24,25,96.0,17,20,85.0,4,7,57.1,0,0.0,0.0,0.0,0,3,1,0,7,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
76,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,30-091,1995,11.1,200,313,63.9,3391,742,105,132,79.5,77,121,63.6,15,33,45.5,1,2.0,1.7,-1.0,8,6,17,5,23,Matches
77,Donny van de Beek,nl NED,MF,Girona,28-023,1997,15.8,365,447,81.7,5265,1056,216,242,89.3,120,147,81.6,16,24,66.7,2,3.2,3.6,-1.2,18,21,11,0,45,Matches
78,Luken Beitia,es ESP,DF,Real Sociedad,20-315,2004,0.1,5,5,100.0,108,22,1,1,100.0,2,2,100.0,2,2,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
79,Ismael Bekhoucha,ma MAR,"MF,DF",Getafe,20-172,2004,0.3,6,10,60.0,71,23,5,6,83.3,1,2,50.0,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
80,Héctor Bellerín,es ESP,DF,Betis,30-053,1995,6.4,270,328,82.3,4167,1594,140,153,91.5,117,144,81.3,10,21,47.6,2,2.0,2.1,0.0,8,16,4,2,24,Matches
81,Jude Bellingham,eng ENG,MF,Real Madrid,21-316,2003,24.6,1192,1379,86.4,19084,4131,646,711,90.9,418,471,88.7,99,126,78.6,8,3.7,4.1,+4.3,36,117,28,0,180,Matches
