Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
62,Yassin Belkhdim,fr FRA,MF,Angers,23-086,2002,16.9,53,27,26,21,6,27,58,46.6,31,23,6,17,21,74,41,1,Matches
63,Eliesse Ben Seghir,ma MAR,"MF,FW",Monaco,20-084,2005,18.5,29,21,10,12,7,17,30,56.7,13,17,0,17,12,41,3,0,Matches
64,Ismaël Bennacer,dz ALG,MF,Marseille,27-161,1997,6.5,21,10,8,12,1,12,17,70.6,5,5,0,5,10,31,1,1,Matches
65,Saïd Benrahma,dz ALG,"FW,MF",Lyon,29-274,1995,8.2,9,5,4,4,1,3,10,30.0,7,6,0,6,3,12,2,0,Matches
66,Nabil Bentaleb,dz ALG,MF,Lille,30-168,1994,3.7,4,3,2,0,2,3,7,42.9,4,5,0,5,5,9,7,2,Matches
67,Lucas Beraldo,br BRA,DF,Paris S-G,21-168,2003,22.2,38,31,30,8,0,23,37,62.2,14,16,8,8,21,59,63,3,Matches
68,Maxime Bernauer,fr FRA,DF,Saint-Étienne,26-314,1998,7.5,8,7,5,1,2,5,8,62.5,3,7,3,4,5,13,42,1,Matches
69,Dimitry Bertaud,cd COD,GK,Montpellier,26-339,1998,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
70,Mika Biereth,dk DEN,FW,Monaco,22-092,2003,13.6,5,5,0,3,2,3,7,42.9,4,11,0,11,4,9,7,0,Matches
71,Emmanuel Biumla,fr FRA,DF,Angers,20-003,2005,14.6,19,12,14,5,0,12,18,66.7,6,18,8,10,8,27,83,1,Matches
72,Marco Bizot,nl NED,GK,Brest,34-062,1991,31.0,2,1,2,0,0,1,1,100.0,0,0,0,0,0,2,30,0,Matches
73,Ludovic Blas,fr FRA,"MF,FW",Rennes,27-131,1997,24.7,37,24,9,12,16,22,40,55.0,18,16,2,14,13,50,11,0,Matches
74,Augustine Boakye,gh GHA,"FW,MF",Saint-Étienne,24-189,2000,8.1,7,3,3,4,0,3,11,27.3,8,5,0,5,6,13,4,0,Matches
75,Mathéo Bodmer,fr FRA,MF,Le Havre,21-005,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Jeremie Boga,ci CIV,"MF,FW",Nice,28-128,1997,11.7,10,5,2,5,3,4,8,50.0,4,13,0,13,3,13,2,1,Matches
77,Moïse Bombito,ca CAN,DF,Nice,25-042,2000,23.4,36,24,21,12,3,24,35,68.6,11,34,19,15,18,54,119,7,Matches
78,Saïmon Bouabré,fr FRA,"MF,FW",Monaco,18-344,2006,0.8,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,0,0,Matches
79,Ayyoub Bouaddi,fr FRA,MF,Lille,17-221,2007,11.9,49,30,21,20,8,18,31,58.1,13,11,3,8,10,59,12,1,Matches
80,Badredine Bouanani,dz ALG,"MF,FW",Nice,20-154,2004,11.5,11,4,4,4,3,6,18,33.3,12,15,3,12,9,20,4,0,Matches
81,Benjamin Bouchouari,ma MAR,MF,Saint-Étienne,23-179,2001,18.4,31,24,14,12,5,15,42,35.7,27,18,1,17,17,48,15,2,Matches
82,Hicham Boudaoui,dz ALG,MF,Nice,25-230,1999,26.1,75,52,28,36,11,31,53,58.5,22,39,11,28,22,97,44,1,Matches
83,Justin Bourgault,fr FRA,DF,Brest,19-239,2005,1.4,2,1,1,1,0,0,0,,0,0,0,0,0,2,1,0,Matches
84,Benjamin Bourigeaud,fr FRA,MF,Rennes,31-117,1994,0.9,1,0,0,1,0,0,2,0.0,2,2,1,1,2,3,1,0,Matches
85,Bilal Brahimi,dz ALG,MF,Nice,25-058,2000,0.8,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,Matches
86,Lilian Brassier,fr FRA,DF,Marseille,25-190,1999,8.7,8,6,8,0,0,5,6,83.3,1,8,3,5,9,17,28,2,Matches
87,Lilian Brassier,fr FRA,DF,Rennes,25-190,1999,12.7,15,12,11,4,0,9,11,81.8,2,16,10,6,21,36,58,0,Matches
88,Anthony Briançon,fr FRA,DF,Saint-Étienne,30-164,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
89,Aurélio Buta,pt POR,DF,Reims,28-090,1997,21.2,36,23,21,11,4,21,42,50.0,21,18,4,14,21,57,59,0,Matches
90,Marcin Bułka,pl POL,GK,Nice,25-219,1999,33.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,16,6,Matches
91,Rémy Cabella,fr FRA,"FW,MF",Lille,35-064,1990,10.3,35,18,15,11,9,18,31,58.1,13,10,1,9,8,43,4,0,Matches
92,Mathieu Cafaro,fr FRA,"MF,FW",Saint-Étienne,28-047,1997,8.1,10,7,4,4,2,4,15,26.7,11,7,1,6,7,17,3,0,Matches
93,Duje Ćaleta-Car,hr CRO,DF,Lyon,28-236,1996,16.6,20,12,11,9,0,10,19,52.6,9,31,23,8,16,36,94,2,Matches
94,Issiaga Camara,gn GUI,MF,Nice,20-098,2005,0.2,2,1,0,2,0,0,1,0.0,1,0,0,0,3,5,0,0,Matches
