Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
63,Sven Botman,nl NED,DF,Newcastle Utd,25-119,2000,5,3,233,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
64,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-142,1996,31,31,2721,30.2,10,7,17,9,1,1,1,0,8.0,7.3,6.3,13.6,98,86,188,0.33,0.23,0.56,0.30,0.53,0.26,0.21,0.47,0.24,0.45,Matches
65,Conor Bradley,nir NIR,DF,Liverpool,21-306,2003,16,4,567,6.3,0,1,1,0,0,0,3,0,0.6,0.6,0.5,1.1,28,26,31,0.00,0.16,0.16,0.00,0.16,0.09,0.07,0.17,0.09,0.17,Matches
66,Jarrad Branthwaite,eng ENG,DF,Everton,22-318,2002,29,27,2438,27.1,0,1,1,0,0,0,4,0,1.2,1.2,0.7,1.8,9,64,2,0.00,0.04,0.04,0.00,0.04,0.04,0.02,0.07,0.04,0.07,Matches
67,James Bree,eng ENG,DF,Southampton,27-212,1997,16,12,985,10.9,0,1,1,0,0,0,0,0,0.1,0.1,0.9,1.0,12,31,37,0.00,0.09,0.09,0.00,0.09,0.01,0.08,0.09,0.01,0.09,Matches
68,Ben Brereton,cl CHI,FW,Southampton,26-023,1999,10,4,449,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,12,9,42,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Matches
69,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-036,1998,16,6,605,6.7,1,0,1,1,0,0,1,0,1.5,1.5,0.6,2.1,17,12,27,0.15,0.00,0.15,0.15,0.15,0.22,0.10,0.32,0.22,0.32,Matches
70,Armando Broja,al ALB,FW,Everton,23-243,2001,10,4,334,3.7,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,12,2,26,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches
71,David Brooks,wls WAL,"FW,MF",Bournemouth,27-307,1997,27,8,853,9.5,2,0,2,2,0,0,3,0,2.2,2.2,1.8,4.0,29,34,75,0.21,0.00,0.21,0.21,0.21,0.23,0.19,0.42,0.23,0.42,Matches
72,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-137,1996,12,0,98,1.1,0,0,0,0,0,0,1,0,0.7,0.7,0.0,0.7,3,7,6,0.00,0.00,0.00,0.00,0.00,0.60,0.02,0.62,0.60,0.62,Matches
73,Santiago Bueno,uy URU,DF,Wolves,26-183,1998,28,18,1683,18.7,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,1,28,1,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
74,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-139,2004,29,14,1474,16.4,4,2,6,4,0,0,7,0,3.8,3.8,3.1,6.8,38,52,69,0.24,0.12,0.37,0.24,0.37,0.23,0.19,0.42,0.23,0.42,Matches
75,Cameron Burgess,au AUS,DF,Ipswich Town,29-202,1995,18,16,1541,17.1,0,2,2,0,0,0,0,0,1.1,1.1,0.5,1.6,2,42,4,0.00,0.12,0.12,0.00,0.12,0.06,0.03,0.09,0.06,0.09,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
76,Dan Burn,eng ENG,DF,Newcastle Utd,33-002,1992,34,34,3060,34.0,1,0,1,1,0,0,10,0,1.7,1.7,0.9,2.6,9,59,10,0.03,0.00,0.03,0.03,0.03,0.05,0.03,0.08,0.05,0.08,Matches
77,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-169,1994,18,12,926,10.3,0,1,1,0,0,0,1,0,0.5,0.5,1.6,2.2,38,8,65,0.00,0.10,0.10,0.00,0.10,0.05,0.16,0.21,0.05,0.21,Matches
78,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,22-127,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.94,0.00,0.94,0.94,0.94,Matches
79,Moisés Caicedo,ec ECU,"MF,DF",Chelsea,23-190,2001,35,35,3081,34.2,1,2,3,1,0,0,10,0,0.8,0.8,3.0,3.7,38,197,33,0.03,0.06,0.09,0.03,0.09,0.02,0.09,0.11,0.02,0.11,Matches
80,Tom Cairney,sct SCO,MF,Fulham,34-111,1991,23,2,510,5.7,1,0,1,1,0,0,3,1,0.2,0.2,1.0,1.2,15,48,32,0.18,0.00,0.18,0.18,0.18,0.04,0.17,0.21,0.04,0.21,Matches
81,Jens Cajuste,se SWE,MF,Ipswich Town,25-274,1999,28,23,1813,20.1,1,0,1,1,0,0,2,0,0.5,0.5,0.6,1.1,23,46,16,0.05,0.00,0.05,0.05,0.05,0.02,0.03,0.05,0.02,0.05,Matches
82,Riccardo Calafiori,it ITA,DF,Arsenal,22-357,2002,17,11,925,10.3,2,1,3,2,0,0,4,0,0.9,0.9,0.3,1.1,21,54,29,0.19,0.10,0.29,0.19,0.29,0.08,0.03,0.11,0.08,0.11,Matches
83,Dominic Calvert-Lewin,eng ENG,FW,Everton,28-056,1997,24,19,1589,17.7,3,1,4,3,0,0,2,0,6.3,6.3,0.6,6.9,22,19,108,0.17,0.06,0.23,0.17,0.23,0.35,0.04,0.39,0.35,0.39,Matches
