Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
242,Maxim Leitsch,de GER,DF,Mainz 05,26-358,1998,7.5,289,370,78.1,5085,1676,123,143,86.0,136,164,82.9,25,54,46.3,0,0.2,0.2,-0.2,2,26,0,0,25,Matches
243,Jamie Leweling,de GER,"MF,FW",Stuttgart,24-074,2001,17.0,382,542,70.5,5555,1363,232,279,83.2,129,168,76.8,14,45,31.1,2,3.6,2.9,-1.6,23,24,26,9,50,Matches
244,Philipp Lienhart,at AUT,DF,Freiburg,28-304,1996,29.8,1898,2190,86.7,36580,13416,643,685,93.9,1049,1140,92.0,188,317,59.3,0,0.7,0.8,-0.7,5,144,9,0,132,Matches
245,Marin Ljubicic,hr CRO,"FW,MF",Union Berlin,23-072,2002,3.0,30,55,54.5,391,101,14,24,58.3,12,20,60.0,0,1,0.0,1,0.6,0.3,+0.4,2,2,1,0,5,Matches
246,Anthony Losilla,fr FRA,MF,Bochum,39-062,1986,12.3,299,393,76.1,4784,1819,133,163,81.6,130,164,79.3,18,37,48.6,0,0.4,0.7,-0.4,7,20,9,3,44,Matches
247,Yannik Lührs,de GER,DF,Dortmund,21-244,2003,1.4,152,166,91.6,2551,603,58,62,93.5,88,92,95.7,5,7,71.4,0,0.0,0.0,0.0,1,5,0,0,1,Matches
248,Castello Lukeba,fr FRA,DF,RB Leipzig,22-145,2002,17.5,1054,1238,85.1,17686,7070,486,530,91.7,504,568,88.7,53,98,54.1,0,0.2,0.5,-0.2,4,90,7,1,80,Matches
249,Senne Lynen,be BEL,MF,Werder Bremen,26-081,1999,29.4,1048,1274,82.3,16664,4848,500,563,88.8,448,529,84.7,59,106,55.7,1,0.6,1.1,+0.4,8,79,14,0,89,Matches
250,Shuto Machino,jp JPN,"FW,MF",Holstein Kiel,25-223,1999,20.9,443,686,64.6,7817,2702,205,257,79.8,177,240,73.8,51,133,38.3,2,3.0,2.6,-1.0,26,35,20,6,59,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
251,Arne Maier,de GER,MF,Augsburg,26-123,1999,9.7,419,551,76.0,7414,2001,191,224,85.3,169,202,83.7,50,92,54.3,0,1.5,2.5,-1.5,24,38,8,3,40,Matches
252,Patrick Mainka,de GER,DF,Heidenheim,30-186,1994,33.0,1374,1612,85.2,27434,11624,414,469,88.3,806,881,91.5,143,223,64.1,1,0.3,0.6,+0.7,7,86,5,0,99,Matches
253,Lovro Majer,hr CRO,MF,Wolfsburg,27-114,1998,2.6,66,101,65.3,1011,448,41,47,87.2,17,28,60.7,5,17,29.4,1,0.5,0.7,+0.5,5,9,2,0,11,Matches
254,Jordy Makengo,fr FRA,DF,Freiburg,23-281,2001,7.5,227,287,79.1,3669,807,104,117,88.9,101,126,80.2,14,30,46.7,0,0.2,0.5,-0.2,2,10,5,5,14,Matches
255,Jarzinho Malanga,de GER,DF,Stuttgart,18-305,2006,0.0,2,2,100.0,25,0,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
256,Julián Malatini,ar ARG,DF,Werder Bremen,23-345,2001,5.0,261,302,86.4,4349,1255,111,120,92.5,133,144,92.4,12,28,42.9,1,0.5,0.5,+0.5,2,13,4,1,24,Matches
257,Donyell Malen,nl NED,"FW,MF",Dortmund,26-122,1999,6.8,136,190,71.6,1735,423,98,119,82.4,33,46,71.7,3,9,33.3,0,0.2,0.5,-0.2,1,6,6,1,17,Matches
258,Lennard Maloney,us USA,MF,Heidenheim,25-215,1999,8.4,194,271,71.6,3751,1219,72,90,80.0,95,114,83.3,24,52,46.2,0,0.0,0.1,0.0,1,12,1,0,14,Matches
259,Lennard Maloney,us USA,MF,Mainz 05,25-215,1999,0.3,8,13,61.5,115,58,4,6,66.7,2,4,50.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
260,Johan Manzambi,ch SUI,"FW,MF",Freiburg,19-209,2005,2.8,75,102,73.5,1244,153,35,45,77.8,35,40,87.5,5,12,41.7,1,0.4,0.5,+0.6,3,2,2,0,8,Matches
261,Omar Marmoush,eg EGY,FW,Eint Frankfurt,26-093,1999,16.1,300,430,69.8,4868,1774,159,193,82.4,87,121,71.9,39,83,47.0,9,6.2,4.1,+2.8,34,30,22,1,50,Matches
