Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
76,Domagoj Bradarić,hr CRO,DF,Hellas Verona,25-152,1999,19.6,915,38,236,387,310,20,915,36,14,38.9,18,50.0,397,2381,1197,29,29,3,28,11,433,77,Matches
77,Matthias Braunöder,at AUT,MF,Como,23-045,2002,3.0,175,4,43,108,25,3,175,4,1,25.0,2,50.0,88,362,187,2,4,1,3,2,112,0,Matches
78,Iker Bravo,es ESP,"FW,MF",Udinese,20-118,2005,7.2,284,3,24,129,135,26,284,28,11,39.3,17,60.7,150,821,270,6,5,6,31,14,183,37,Matches
79,Gleison Bremer,br BRA,DF,Juventus,28-054,1997,6.0,569,63,286,268,15,3,569,4,3,75.0,1,25.0,352,1760,985,2,1,0,4,2,445,0,Matches
80,Brenner,br BRA,"MF,FW",Udinese,25-115,2000,4.3,151,5,28,74,53,6,151,5,3,60.0,2,40.0,94,502,210,5,4,1,5,9,107,16,Matches
81,Marco Brescianini,it ITA,MF,Atalanta,25-111,2000,9.6,468,4,46,222,207,35,468,24,7,29.2,15,62.5,310,2091,1054,44,27,12,24,19,362,65,Matches
82,Arvid Brorsson,se SWE,DF,Monza,26-003,1999,2.0,132,28,93,40,0,0,132,0,0,,0,,65,260,78,0,0,0,0,0,77,0,Matches
83,Tajon Buchanan,ca CAN,"DF,FW",Inter,26-092,1999,1.1,64,3,18,29,19,2,64,9,3,33.3,4,44.4,42,403,259,6,3,0,2,2,44,8,Matches
84,Alessandro Buongiorno,it ITA,DF,Napoli,25-339,1999,21.4,1489,125,655,788,55,15,1489,7,1,14.3,3,42.9,902,4549,2741,27,7,1,13,8,1059,8,Matches
85,Rareș-Cătălin Burnete,ro ROU,FW,Lecce,21-100,2004,0.3,16,0,0,10,6,2,16,0,0,,0,,8,16,2,0,0,0,4,2,10,4,Matches
