Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
521,Jordan Teze,nl NED,DF,Monaco,25-224,1999,15,7,524,5.8,1,0,1,1,0,0,2,1,1.2,1.2,1.4,2.6,8,29,40,0.17,0.00,0.17,0.17,0.17,0.21,0.24,0.45,0.21,0.45,Matches
522,Sorba Thomas,wls WAL,"FW,MF",Nantes,25-263,1999,24,14,1250,13.9,1,3,4,1,0,0,2,0,1.5,1.5,3.1,4.6,40,34,89,0.07,0.22,0.29,0.07,0.29,0.11,0.22,0.33,0.11,0.33,Matches
523,Adrien Thomasson,fr FRA,MF,Lens,31-153,1993,32,30,2525,28.1,2,7,9,2,0,0,7,0,5.1,5.1,5.9,11.0,26,148,131,0.07,0.25,0.32,0.07,0.32,0.18,0.21,0.39,0.18,0.39,Matches
524,Corentin Tolisso,fr FRA,MF,Lyon,30-282,1994,31,27,2316,25.7,7,4,11,7,0,0,4,0,5.2,5.2,4.9,10.1,31,165,133,0.27,0.16,0.43,0.27,0.43,0.20,0.19,0.39,0.20,0.39,Matches
525,Abdoulaye Touré,gn GUI,MF,Le Havre,31-070,1994,27,25,2234,24.8,8,1,9,2,6,7,5,0,7.8,2.2,0.4,2.6,16,105,27,0.32,0.04,0.36,0.08,0.12,0.32,0.02,0.33,0.09,0.10,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
526,Birama Touré,ml MLI,"MF,DF",Montpellier,32-340,1992,8,2,300,3.3,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,9,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
527,Ousmane Toure,fr FRA,DF,Lille,20-083,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
528,Adrien Truffert,fr FRA,"DF,MF",Rennes,23-173,2001,32,30,2662,29.6,2,2,4,2,0,0,3,0,2.4,2.3,3.2,5.5,65,102,239,0.07,0.07,0.14,0.07,0.14,0.08,0.11,0.19,0.08,0.19,Matches
529,Vanderson,br BRA,DF,Monaco,23-325,2001,28,23,2019,22.4,1,3,4,1,0,0,6,1,2.2,2.2,3.1,5.3,57,102,150,0.04,0.13,0.18,0.04,0.18,0.10,0.14,0.24,0.10,0.24,Matches
530,Robinio Vaz,fr FRA,FW,Marseille,18-084,2007,2,0,75,0.8,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,3,0,6,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.61,0.61,0.61,Matches
531,Jordan Veretout,fr FRA,MF,Lyon,32-072,1993,26,18,1463,16.3,2,0,2,2,0,0,3,0,1.8,1.8,0.6,2.3,29,90,57,0.12,0.00,0.12,0.12,0.12,0.11,0.03,0.14,0.11,0.14,Matches
532,Ben Viadere,fr FRA,MF,Auxerre,19-252,2005,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.85,0.85,0.00,0.85,Matches
533,Vitinha,pt POR,MF,Paris S-G,25-088,2000,28,19,1952,21.7,5,1,6,3,2,2,1,0,3.4,1.8,2.0,3.8,52,210,55,0.23,0.05,0.28,0.14,0.18,0.16,0.09,0.25,0.08,0.18,Matches
534,Ibrahima Wadji,sn SEN,"FW,MF",Saint-Étienne,30-007,1995,9,1,279,3.1,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,9,2,18,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.24,0.23,0.24,Matches
535,Elye Wahi,fr FRA,FW,Marseille,22-130,2003,13,7,574,6.4,3,1,4,2,1,1,1,0,6.0,5.2,0.4,5.6,7,7,41,0.47,0.16,0.63,0.31,0.47,0.94,0.07,1.00,0.81,0.88,Matches
536,Caleb Wiley,us USA,"DF,MF",Strasbourg,20-141,2004,6,3,266,3.0,0,1,1,0,0,0,1,0,0.0,0.0,0.7,0.7,3,7,9,0.00,0.34,0.34,0.00,0.34,0.01,0.23,0.24,0.01,0.24,Matches
537,Christopher Wooh,cm CMR,DF,Rennes,23-236,2001,20,17,1456,16.2,0,0,0,0,0,0,6,1,1.3,1.3,0.1,1.4,14,59,2,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.09,0.08,0.09,Matches
538,Etienne Youte Kinkoue,fr FRA,DF,Le Havre,23-118,2002,27,25,2230,24.8,0,0,0,0,0,0,4,1,1.3,1.3,0.2,1.5,11,60,4,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
539,Eloge Zabi,ci CIV,"DF,MF",Reims,18-230,2006,2,0,18,0.2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
540,Yoram Zague,fr FRA,"DF,FW",Paris S-G,18-362,2006,4,2,183,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,5,10,17,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
541,Wilfried Zaha,ci CIV,FW,Lyon,32-183,1992,4,1,73,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,9,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
542,Warren Zaïre-Emery,fr FRA,"MF,DF",Paris S-G,19-065,2006,28,23,2019,22.4,1,2,3,1,0,0,3,0,1.7,1.7,1.4,3.1,49,134,91,0.04,0.09,0.13,0.04,0.13,0.07,0.06,0.14,0.07,0.14,Matches
543,Miha Zajc,si SVN,MF,Toulouse,30-315,1994,19,1,262,2.9,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,7,24,9,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10,Matches
544,Denis Zakaria,ch SUI,MF,Monaco,28-173,1996,25,24,2136,23.7,6,4,10,4,2,2,5,0,5.2,3.6,1.4,5.0,27,113,36,0.25,0.17,0.42,0.17,0.34,0.22,0.06,0.28,0.15,0.21,Matches
545,Anass Zaroury,ma MAR,"FW,MF",Lens,24-186,2000,27,15,1315,14.6,1,2,3,1,0,0,3,1,1.6,1.6,2.9,4.5,47,63,103,0.07,0.14,0.21,0.07,0.21,0.11,0.20,0.31,0.11,0.31,Matches
546,Nathan Zeze,fr FRA,DF,Nantes,19-328,2005,17,17,1493,16.6,0,0,0,0,0,0,6,0,0.2,0.2,0.0,0.3,2,46,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02,Matches
547,Edon Zhegrova,xk KVX,"FW,MF",Lille,26-042,1999,12,12,978,10.9,4,1,5,4,0,0,1,0,2.3,2.3,2.2,4.5,37,54,81,0.37,0.09,0.46,0.37,0.46,0.21,0.21,0.41,0.21,0.41,Matches
548,Luc Zogbé,ci CIV,DF,Brest,20-049,2005,13,7,638,7.1,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,4,19,19,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
549,Aristide Zossou,ci CIV,MF,Auxerre,19-332,2005,3,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
550,Yanis Zouaoui,dz ALG,"DF,FW",Le Havre,30-306,1994,17,9,976,10.8,0,2,2,0,0,0,3,0,0.1,0.1,2.9,3.1,33,32,33,0.00,0.18,0.18,0.00,0.18,0.01,0.27,0.28,0.01,0.28,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
551,Edhy Zuliani,it ITA,DF,Toulouse,20-274,2004,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
