Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
41,Ronald Araújo,uy URU,DF,Barcelona,26-065,1999,10,9,641,7.1,1,1,2,1,0,0,2,0,1.0,1.0,0.4,1.4,6,43,3,0.14,0.14,0.28,0.14,0.28,0.13,0.06,0.19,0.13,0.19,Matches
42,Adu Ares,es ESP,FW,Athletic Club,23-211,2001,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
43,Jesús Areso,es ESP,DF,Osasuna,25-313,1999,32,31,2721,30.2,0,3,3,0,0,0,7,0,0.1,0.1,2.9,3.0,90,95,188,0.00,0.10,0.10,0.00,0.10,0.00,0.09,0.10,0.00,0.10,Matches
44,David Argüelles,es ESP,MF,Getafe,23-130,2002,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
45,José Arnaiz,es ESP,"MF,FW",Osasuna,30-026,1995,13,1,122,1.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,4,3,13,0.00,0.00,0.00,0.00,0.00,0.21,0.06,0.28,0.21,0.28,Matches
46,Sergio Arribas,es ESP,DF,Betis,22-090,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
47,Takuma Asano,jp JPN,"FW,MF",Mallorca,30-182,1994,21,13,1054,11.7,2,1,3,2,0,0,0,0,2.7,2.7,0.7,3.4,28,20,76,0.17,0.09,0.26,0.17,0.26,0.23,0.06,0.29,0.23,0.29,Matches
48,Raúl Asencio,es ESP,DF,Real Madrid,22-087,2003,20,15,1427,15.9,0,1,1,0,0,0,2,0,0.1,0.1,0.5,0.6,5,25,4,0.00,0.06,0.06,0.00,0.06,0.00,0.03,0.04,0.00,0.04,Matches
49,Iago Aspas,es ESP,"FW,MF",Celta Vigo,37-283,1987,28,18,1640,18.2,9,4,13,4,5,6,5,1,8.5,3.8,3.8,7.5,48,123,130,0.49,0.22,0.71,0.22,0.44,0.47,0.21,0.67,0.21,0.41,Matches
50,Yaser Asprilla,co COL,"FW,MF",Girona,21-173,2003,24,12,1155,12.8,3,0,3,3,0,0,2,0,1.7,1.7,2.1,3.8,57,70,116,0.23,0.00,0.23,0.23,0.23,0.13,0.16,0.29,0.13,0.29,Matches
