Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
52,Raoul Bellanova,it ITA,DF,Torino,24-360,2000,1.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,Matches
53,Raoul Bellanova,it ITA,DF,Atalanta,24-360,2000,24.6,23,13,8,12,3,12,20,60.0,8,12,3,9,18,41,42,0,Matches
54,Andrea Belotti,it ITA,FW,Como,31-143,1993,6.6,7,5,1,4,2,1,4,25.0,3,4,0,4,1,8,8,0,Matches
55,Lucas Beltrán,ar ARG,"MF,FW",Fiorentina,24-044,2001,19.8,20,10,8,7,5,6,19,31.6,13,15,2,13,4,24,14,0,Matches
56,Adrian Benedyczak,pl POL,"FW,MF",Parma,24-169,2000,2.4,0,0,0,0,0,0,1,0.0,1,3,1,2,0,0,8,0,Matches
57,Ismaël Bennacer,dz ALG,MF,Milan,27-162,1997,3.3,5,4,1,3,1,1,7,14.3,6,5,3,2,3,8,1,0,Matches
58,Medon Berisha,al ALB,MF,Lecce,21-203,2003,7.0,12,8,7,3,2,4,8,50.0,4,5,0,5,10,22,4,2,Matches
59,Adrian Bernabe,es ESP,MF,Parma,23-351,2001,15.1,28,18,16,8,4,14,30,46.7,16,22,9,13,6,34,24,1,Matches
60,Antoine Bernede,fr FRA,MF,Hellas Verona,25-351,1999,5.6,14,7,4,8,2,9,15,60.0,6,6,1,5,5,19,3,0,Matches
61,Sam Beukema,nl NED,DF,Bologna,26-176,1998,33.5,54,29,27,24,3,22,41,53.7,19,36,21,15,30,84,111,0,Matches
62,Alessandro Bianco,it ITA,MF,Monza,22-223,2002,26.2,47,26,23,16,8,25,37,67.6,12,39,14,25,19,66,50,4,Matches
63,Alessandro Bianco,it ITA,MF,Fiorentina,22-223,2002,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
64,Jaka Bijol,si SVN,DF,Udinese,26-096,1999,32.0,43,25,32,10,1,21,38,55.3,17,37,18,19,37,80,178,1,Matches
65,Philip Billing,dk DEN,MF,Napoli,28-335,1996,1.8,9,6,4,4,1,1,2,50.0,1,4,1,3,4,13,5,0,Matches
66,Cristiano Biraghi,it ITA,DF,Torino,32-253,1992,9.9,12,9,8,2,2,7,12,58.3,5,10,3,7,8,20,36,0,Matches
67,Cristiano Biraghi,it ITA,DF,Fiorentina,32-253,1992,4.8,4,4,1,3,0,2,7,28.6,5,2,0,2,4,8,11,0,Matches
68,Samuele Birindelli,it ITA,"DF,MF",Monza,25-297,1999,13.3,17,13,8,4,5,5,12,41.7,7,13,2,11,8,25,25,1,Matches
69,Bjarki Bjarkason,is ISL,"DF,MF",Venezia,25-001,2000,1.8,3,2,2,1,0,1,2,50.0,1,1,0,1,2,5,4,0,Matches
70,Emil Bohinen,no NOR,MF,Genoa,26-061,1999,1.8,4,4,3,0,1,2,5,40.0,3,2,0,2,1,5,6,0,Matches
71,Warren Bondo,fr FRA,MF,Monza,21-239,2003,18.0,35,24,19,12,4,13,19,68.4,6,16,6,10,5,40,8,4,Matches
72,Warren Bondo,fr FRA,MF,Milan,21-239,2003,1.8,5,3,4,1,0,3,3,100.0,0,1,0,1,0,5,2,0,Matches
73,Kevin Bonifazi,it ITA,DF,Lecce,28-358,1996,0.7,1,1,1,0,0,1,1,100.0,0,1,1,0,2,3,3,0,Matches
74,Ange-Yoan Bonny,fr FRA,FW,Parma,21-199,2003,26.2,34,16,4,23,7,8,14,57.1,6,17,2,15,3,37,16,0,Matches
75,Edoardo Bove,it ITA,"MF,FW",Fiorentina,22-361,2002,9.5,24,17,7,14,3,14,28,50.0,14,12,0,12,6,30,8,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Domagoj Bradarić,hr CRO,DF,Hellas Verona,25-153,1999,19.6,32,24,20,8,4,16,26,61.5,10,17,4,13,14,46,46,1,Matches
