Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
72,Marco Bizot,nl NED,GK,Brest,34-062,1991,31.0,745,1080,69.0,23507,18166,85,86,98.8,359,361,99.4,299,628,47.6,0,0.0,0.0,0.0,0,8,0,0,1,Matches
73,Ludovic Blas,fr FRA,"MF,FW",Rennes,27-131,1997,24.7,676,914,74.0,11707,3340,339,388,87.4,237,314,75.5,79,157,50.3,8,4.6,5.4,+3.4,47,74,33,9,113,Matches
74,Augustine Boakye,gh GHA,"FW,MF",Saint-Étienne,24-189,2000,8.1,192,256,75.0,2549,798,115,144,79.9,53,67,79.1,10,15,66.7,0,0.9,1.0,-0.9,13,14,11,0,35,Matches
75,Mathéo Bodmer,fr FRA,MF,Le Havre,21-005,2004,0.1,2,2,100.0,40,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
76,Jeremie Boga,ci CIV,"MF,FW",Nice,28-128,1997,11.7,329,398,82.7,4487,1003,215,243,88.5,94,106,88.7,14,19,73.7,2,2.8,3.2,-0.8,24,11,18,4,39,Matches
77,Moïse Bombito,ca CAN,DF,Nice,25-042,2000,23.4,1225,1357,90.3,22337,8598,468,502,93.2,637,674,94.5,100,147,68.0,0,0.2,0.6,-0.2,2,76,5,0,95,Matches
78,Saïmon Bouabré,fr FRA,"MF,FW",Monaco,18-344,2006,0.8,14,21,66.7,216,67,8,10,80.0,6,9,66.7,0,0,,0,0.0,0.0,0.0,0,2,1,0,2,Matches
79,Ayyoub Bouaddi,fr FRA,MF,Lille,17-221,2007,11.9,454,515,88.2,7662,1547,202,225,89.8,206,219,94.1,32,36,88.9,1,1.0,1.2,0.0,5,33,1,0,35,Matches
80,Badredine Bouanani,dz ALG,"MF,FW",Nice,20-154,2004,11.5,318,412,77.2,4718,1060,193,218,88.5,92,121,76.0,22,37,59.5,3,2.3,2.2,+0.7,18,19,13,2,42,Matches
81,Benjamin Bouchouari,ma MAR,MF,Saint-Étienne,23-179,2001,18.4,842,975,86.4,11759,4009,511,565,90.4,261,294,88.8,32,46,69.6,0,0.9,1.3,-0.9,16,111,22,1,122,Matches
82,Hicham Boudaoui,dz ALG,MF,Nice,25-230,1999,26.1,906,1090,83.1,14048,3996,482,543,88.8,343,393,87.3,56,87,64.4,2,2.9,2.8,-0.9,21,73,32,3,122,Matches
83,Justin Bourgault,fr FRA,DF,Brest,19-239,2005,1.4,54,74,73.0,961,297,25,28,89.3,25,30,83.3,4,11,36.4,0,0.1,0.1,-0.1,1,5,1,1,4,Matches
84,Benjamin Bourigeaud,fr FRA,MF,Rennes,31-117,1994,0.9,36,48,75.0,646,141,15,16,93.8,17,21,81.0,4,10,40.0,0,0.0,0.0,0.0,0,3,0,0,4,Matches
85,Bilal Brahimi,dz ALG,MF,Nice,25-058,2000,0.8,35,40,87.5,614,163,15,16,93.8,18,19,94.7,2,4,50.0,0,0.0,0.2,0.0,1,1,1,1,4,Matches
86,Lilian Brassier,fr FRA,DF,Marseille,25-190,1999,8.7,560,653,85.8,8815,2726,270,284,95.1,259,297,87.2,19,46,41.3,0,0.0,0.1,0.0,1,48,2,0,40,Matches
87,Lilian Brassier,fr FRA,DF,Rennes,25-190,1999,12.7,744,870,85.5,14030,5292,256,278,92.1,412,451,91.4,67,119,56.3,0,0.2,0.4,-0.2,5,80,6,1,72,Matches
88,Anthony Briançon,fr FRA,DF,Saint-Étienne,30-164,1994,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
89,Aurélio Buta,pt POR,DF,Reims,28-090,1997,21.2,810,979,82.7,12075,4169,443,497,89.1,308,369,83.5,35,63,55.6,1,0.8,1.4,+0.2,10,56,12,4,82,Matches
90,Marcin Bułka,pl POL,GK,Nice,25-219,1999,33.0,870,1081,80.5,21316,15030,202,205,98.5,435,452,96.2,228,417,54.7,0,0.2,0.1,-0.2,1,12,0,0,2,Matches
91,Rémy Cabella,fr FRA,"FW,MF",Lille,35-064,1990,10.3,580,702,82.6,8349,2268,338,375,90.1,195,232,84.1,24,45,53.3,2,2.2,3.0,-0.2,24,36,24,8,70,Matches
92,Mathieu Cafaro,fr FRA,"MF,FW",Saint-Étienne,28-047,1997,8.1,172,239,72.0,2760,750,93,115,80.9,65,84,77.4,13,32,40.6,0,1.3,1.3,-1.3,13,12,9,4,16,Matches
93,Duje Ćaleta-Car,hr CRO,DF,Lyon,28-236,1996,16.6,857,943,90.9,16225,5375,282,303,93.1,505,531,95.1,65,96,67.7,0,0.1,0.9,-0.1,2,47,0,0,44,Matches
94,Issiaga Camara,gn GUI,MF,Nice,20-098,2005,0.2,15,16,93.8,197,57,9,9,100.0,5,5,100.0,0,1,0.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
95,Lamine Camara,sn SEN,MF,Monaco,21-130,2004,21.8,1162,1405,82.7,21270,6279,487,551,88.4,521,580,89.8,134,224,59.8,7,4.4,4.9,+2.6,44,129,26,4,139,Matches
96,Mahdi Camara,fr FRA,"MF,FW",Brest,26-315,1998,28.5,969,1131,85.7,15159,3284,469,524,89.5,426,472,90.3,38,61,62.3,3,2.0,2.4,+1.0,25,78,17,10,107,Matches
97,Ousmane Camara,fr FRA,DF,Angers,22-066,2003,2.0,69,77,89.6,1397,528,22,22,100.0,36,37,97.3,11,16,68.8,0,0.0,0.0,0.0,1,3,0,0,3,Matches
98,Axel Camblan,fr FRA,"MF,FW",Brest,21-254,2003,0.3,3,7,42.9,44,23,2,5,40.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,2,Matches
99,Jaydee Canvot,fr FRA,"DF,MF",Toulouse,18-286,2006,11.3,425,491,86.6,7392,2031,184,199,92.5,209,229,91.3,26,43,60.5,0,0.3,0.3,-0.3,3,38,5,2,38,Matches
100,Pierrick Capelle,fr FRA,MF,Angers,38-026,1987,5.4,185,231,80.1,3185,808,88,101,87.1,80,99,80.8,13,22,59.1,0,1.2,0.7,-1.2,5,19,2,1,22,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
101,Gabin Capuano,fr FRA,FW,Lens,19-015,2006,0.1,2,2,100.0,22,6,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
102,Maxence Caqueret,fr FRA,MF,Lyon,25-085,2000,6.4,274,343,79.9,4339,1547,138,164,84.1,109,124,87.9,17,28,60.7,0,0.4,0.6,-0.4,10,39,10,0,50,Matches
103,Simon Cara,fr FRA,"MF,FW",Montpellier,19-345,2005,0.1,4,6,66.7,70,1,2,3,66.7,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
104,Valentin Carboni,ar ARG,"MF,FW",Marseille,20-067,2005,1.1,57,64,89.1,816,162,32,34,94.1,19,20,95.0,3,4,75.0,0,0.1,0.1,-0.1,3,4,4,2,4,Matches
105,Irvin Cardona,fr FRA,FW,Saint-Étienne,27-276,1997,9.9,230,345,66.7,3067,765,143,175,81.7,61,99,61.6,12,25,48.0,2,1.1,1.5,+0.9,13,10,13,1,29,Matches
106,Patrik Carlgren,se SWE,GK,Nantes,33-123,1992,4.6,90,137,65.7,2681,2084,17,17,100.0,35,35,100.0,37,83,44.6,0,0.0,0.0,0.0,0,1,0,0,0,Matches
107,Josué Casimir,fr FRA,"FW,MF",Le Havre,23-229,2001,21.2,381,559,68.2,6013,1349,211,248,85.1,134,199,67.3,30,67,44.8,4,3.1,1.9,+0.9,25,21,11,5,41,Matches
108,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,25-111,2000,29.0,1069,1362,78.5,18711,5167,459,548,83.8,507,576,88.0,83,171,48.5,3,2.6,3.4,+0.4,27,86,22,7,125,Matches
109,Jean-Charles Castelletto,cm CMR,"DF,MF",Nantes,30-105,1995,28.1,1185,1341,88.4,20835,7647,471,503,93.6,613,663,92.5,80,136,58.8,0,0.1,0.4,-0.1,2,80,5,1,87,Matches
110,Enzo Caumont,fr FRA,MF,Angers,21-059,2004,0.1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
111,Fabien Centonze,fr FRA,DF,Nantes,29-115,1996,2.7,108,139,77.7,1640,608,61,68,89.7,39,52,75.0,6,10,60.0,0,0.2,0.3,-0.2,3,3,7,4,15,Matches
112,Brendan Chardonnet,fr FRA,DF,Brest,30-140,1994,26.8,993,1210,82.1,20771,7790,294,318,92.5,550,590,93.2,141,279,50.5,0,1.2,1.1,-1.2,8,67,3,1,51,Matches
113,Jhoanner Chávez,ec ECU,"DF,MF",Lens,23-016,2002,6.6,230,308,74.7,3617,1446,129,149,86.6,74,100,74.0,20,40,50.0,0,0.7,1.3,-0.7,9,10,8,5,9,Matches
