Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
31,Oliver Baumann,de GER,GK,Hoffenheim,34-343,1990,27,27,2430,27.0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,1.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
32,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,25-283,1999,30,18,1596,17.7,2,1,3,2,0,0,5,0,4.5,4.5,1.3,5.8,36,51,93,0.11,0.06,0.17,0.11,0.17,0.25,0.07,0.33,0.25,0.33,Matches
33,Adrian Beck,de GER,"MF,FW",Heidenheim,27-336,1997,31,17,1553,17.3,4,1,5,4,0,0,1,0,3.2,3.2,1.2,4.4,35,65,80,0.23,0.06,0.29,0.23,0.29,0.18,0.07,0.26,0.18,0.26,Matches
34,Timo Becker,de GER,DF,Holstein Kiel,28-047,1997,29,27,2358,26.2,0,2,2,0,0,0,2,0,1.4,1.4,0.8,2.2,28,57,38,0.00,0.08,0.08,0.00,0.08,0.05,0.03,0.09,0.05,0.09,Matches
35,Hannes Behrens,de GER,DF,Hoffenheim,,,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
36,Kevin Behrens,de GER,FW,Wolfsburg,34-097,1991,17,0,154,1.7,1,0,1,1,0,0,2,0,2.3,2.3,0.1,2.4,2,2,17,0.58,0.00,0.58,0.58,0.58,1.35,0.07,1.42,1.35,1.42,Matches
37,Maximilian Beier,de GER,"FW,MF",Dortmund,22-206,2002,29,17,1591,17.7,8,5,13,8,0,0,2,0,7.7,7.7,3.3,11.0,24,33,124,0.45,0.28,0.74,0.45,0.74,0.44,0.19,0.62,0.44,0.62,Matches
38,Stefan Bell,de GER,DF,Mainz 05,33-260,1991,17,14,1346,15.0,0,1,1,0,0,0,3,0,0.8,0.8,1.0,1.8,8,32,5,0.00,0.07,0.07,0.00,0.07,0.05,0.07,0.12,0.05,0.12,Matches
39,Jeanuël Belocian,fr FRA,"DF,MF",Leverkusen,20-083,2005,5,1,68,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
40,László Bénes,sk SVK,"MF,FW",Union Berlin,27-244,1997,22,3,586,6.5,2,1,3,2,0,0,4,0,0.9,0.9,1.0,1.8,6,28,34,0.31,0.15,0.46,0.31,0.46,0.14,0.15,0.28,0.14,0.28,Matches
