Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
359,Răzvan Marin,ro ROU,MF,Cagliari,28-353,1996,15.1,3,19,7,36.8,1.26,0.46,0.05,0.14,25.1,2,2,2,2.4,0.8,0.04,+0.6,+0.2,Matches
360,Guillermo Maripán,cl CHI,DF,Torino,31-005,1994,23.0,1,10,4,40.0,0.43,0.17,0.10,0.25,10.6,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
361,Aarón Martín,es ESP,DF,Genoa,28-019,1997,31.9,0,15,4,26.7,0.47,0.13,0.00,0.00,24.0,5,0,0,0.9,0.9,0.06,-0.9,-0.9,Matches
362,Josep Martinez,es ESP,GK,Inter,26-349,1998,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
363,Lautaro Martínez,ar ARG,FW,Inter,27-262,1997,28.5,12,102,34,33.3,3.58,1.19,0.12,0.35,13.8,0,0,0,13.5,13.5,0.13,-1.5,-1.5,Matches
364,Lucas Martínez Quarta,ar ARG,DF,Fiorentina,29-001,1996,3.9,1,3,1,33.3,0.77,0.26,0.33,1.00,12.7,0,0,0,0.7,0.7,0.24,+0.3,+0.3,Matches
365,Kevin Martins,it ITA,"MF,DF",Monza,20-100,2005,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
366,Adam Marušić,me MNE,DF,Lazio,32-206,1992,24.5,4,22,10,45.5,0.90,0.41,0.18,0.40,15.1,0,0,0,2.0,2.0,0.09,+2.0,+2.0,Matches
367,Adam Masina,ma MAR,DF,Torino,31-129,1994,18.5,1,6,2,33.3,0.32,0.11,0.17,0.50,12.7,0,0,0,0.4,0.4,0.07,+0.6,+0.6,Matches
368,Patrizio Masini,it ITA,MF,Genoa,24-104,2001,14.1,1,6,1,16.7,0.43,0.07,0.17,1.00,14.4,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches
369,Alan Matturro,uy URU,DF,Genoa,20-212,2004,10.0,0,4,3,75.0,0.40,0.30,0.00,0.00,15.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
370,Luca Mazzitelli,it ITA,MF,Como,29-177,1995,3.7,1,7,3,42.9,1.88,0.81,0.14,0.33,17.5,0,0,0,0.2,0.2,0.03,+0.8,+0.8,Matches
371,Pasquale Mazzocchi,it ITA,"DF,FW",Napoli,29-288,1995,7.7,0,3,1,33.3,0.39,0.13,0.00,0.00,13.4,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
372,Samuel Mbangula,be BEL,FW,Juventus,21-115,2004,7.9,3,9,5,55.6,1.14,0.64,0.33,0.60,18.7,0,0,0,0.6,0.6,0.07,+2.4,+2.4,Matches
373,Weston McKennie,us USA,"MF,DF",Juventus,26-256,1998,24.6,2,20,8,40.0,0.81,0.33,0.10,0.25,12.9,0,0,0,2.7,2.7,0.14,-0.7,-0.7,Matches
374,Scott McTominay,sct SCO,MF,Napoli,28-154,1996,29.6,11,70,29,41.4,2.36,0.98,0.16,0.38,15.2,1,0,0,6.9,6.9,0.10,+4.1,+4.1,Matches
