Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
40,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-242,1991,0.2,8,10,80.0,167,4,3,3,100.0,4,6,66.7,1,1,100.0,0,0.0,0.0,0.0,1,0,0,0,0,Matches
41,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-242,1991,15.8,353,484,72.9,5238,1053,193,223,86.5,123,167,73.7,21,54,38.9,0,1.0,1.4,-1.0,14,22,12,7,37,Matches
42,Benoît Badiashile,fr FRA,DF,Chelsea,24-046,2001,3.7,273,304,89.8,4820,1473,111,119,93.3,135,144,93.8,21,32,65.6,0,0.0,0.1,0.0,0,37,1,0,17,Matches
43,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-275,1997,12.6,273,386,70.7,4275,1048,149,183,81.4,99,122,81.1,18,38,47.4,2,1.5,2.9,+0.5,16,16,20,2,35,Matches
44,Carlos Baleba,cm CMR,MF,Brighton,21-128,2004,27.6,1081,1238,87.3,18221,4623,516,556,92.8,452,493,91.7,91,144,63.2,1,1.3,1.2,-0.3,20,105,23,3,114,Matches
45,Ross Barkley,eng ENG,MF,Aston Villa,31-157,1993,6.3,326,379,86.0,5081,1191,169,191,88.5,138,151,91.4,13,19,68.4,1,0.6,0.4,+0.4,9,29,6,0,33,Matches
46,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-153,1997,16.7,420,533,78.8,5863,1704,267,306,87.3,133,181,73.5,12,19,63.2,4,3.9,4.4,+0.1,23,22,36,8,72,Matches
47,Calvin Bassey,ng NGA,DF,Fulham,25-131,1999,33.2,1899,2115,89.8,33534,11711,804,844,95.3,926,985,94.0,137,224,61.2,0,0.1,0.4,-0.1,3,150,3,0,114,Matches
48,Altay Bayındır,tr TUR,GK,Manchester Utd,27-027,1998,2.0,61,110,55.5,1625,873,7,7,100.0,35,38,92.1,19,63,30.2,0,0.0,0.0,0.0,0,1,0,0,0,Matches
49,Jan Bednarek,pl POL,DF,Southampton,29-029,1996,28.1,1564,1687,92.7,27781,8925,590,620,95.2,856,903,94.8,105,137,76.6,0,0.5,0.9,-0.5,5,72,1,0,60,Matches
