Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
47,Jan-Niklas Beste,de GER,"FW,MF",Freiburg,26-127,1999,2.4,136,2,23,50,65,11,136,8,2,25.0,6,75.0,73,396,196,5,6,4,6,3,75,20,Matches
48,El Bilal Touré,ml MLI,"FW,MF",Stuttgart,23-220,2001,4.0,137,1,6,49,85,23,137,6,3,50.0,3,50.0,72,379,168,6,5,4,10,2,110,25,Matches
49,Tom Bischof,de GER,"MF,FW",Hoffenheim,19-317,2005,27.7,1915,74,361,941,628,46,1915,59,27,45.8,29,49.2,941,4599,2054,46,32,9,41,37,1130,101,Matches
50,Leonardo Bittencourt,de GER,MF,Werder Bremen,31-143,1993,10.7,783,8,144,447,199,20,783,5,1,20.0,3,60.0,515,2400,983,19,12,2,12,2,567,38,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Myron Boadu,nl NED,FW,Bochum,24-117,2001,10.7,264,6,18,111,140,42,263,18,7,38.9,11,61.1,163,759,299,10,9,7,28,14,189,64,Matches
52,Sacha Boey,fr FRA,DF,Bayern Munich,24-240,2000,6.3,562,14,79,263,221,10,562,19,6,31.6,11,57.9,350,1503,729,18,9,4,11,6,406,62,Matches
53,Victor Boniface,ng NGA,FW,Leverkusen,24-139,2000,11.2,400,5,24,163,215,77,399,35,15,42.9,19,54.3,207,1148,507,26,12,15,43,29,319,61,Matches
54,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,26-050,1999,8.7,427,50,169,239,21,10,427,1,0,0.0,1,100.0,206,920,379,3,2,0,2,1,230,1,Matches
55,Carlo Boukhalfa,ma MAR,MF,St. Pauli,26-008,1999,16.3,577,24,105,279,197,28,577,24,11,45.8,13,54.2,254,1125,420,10,8,3,28,17,347,40,Matches
56,Julian Brandt,de GER,MF,Dortmund,29-009,1996,23.7,1361,12,150,634,592,75,1361,50,17,34.0,30,60.0,805,3788,1811,53,43,15,44,33,1026,187,Matches
57,Tim Breithaupt,de GER,MF,Augsburg,23-093,2002,1.3,75,2,18,49,8,1,75,2,2,100.0,0,0.0,44,174,67,1,0,0,3,2,47,1,Matches
58,Maximilian Breunig,de GER,"FW,MF",Heidenheim,24-270,2000,3.9,140,5,17,77,51,17,139,7,3,42.9,3,42.9,78,304,138,5,4,2,15,6,96,13,Matches
59,Moritz Broschinski,de GER,"FW,MF",Bochum,24-230,2000,15.3,546,19,54,210,292,67,546,53,14,26.4,38,71.7,317,1870,808,37,21,13,69,33,381,129,Matches
60,Nathaniel Brown,de GER,"DF,MF",Eint Frankfurt,21-329,2003,19.6,1091,43,305,445,355,47,1091,30,10,33.3,17,56.7,561,3025,1573,40,25,6,27,9,609,104,Matches
61,Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,26-234,1998,4.4,226,3,17,82,133,30,226,21,7,33.3,13,61.9,147,896,471,16,13,8,9,9,167,41,Matches
62,Jacob Bruun Larsen,dk DEN,"MF,FW",Stuttgart,26-234,1998,4.5,212,2,21,78,114,26,212,22,10,45.5,10,45.5,127,881,425,19,5,10,11,3,148,40,Matches
63,Emi Buendía,ar ARG,MF,Leverkusen,28-137,1996,2.8,192,0,20,105,68,11,192,10,5,50.0,2,20.0,106,322,112,2,3,1,10,7,152,24,Matches
64,Marius Bülter,de GER,"FW,DF",Hoffenheim,32-043,1993,18.7,744,22,99,287,368,82,744,42,22,52.4,20,47.6,494,2861,1408,56,23,22,38,21,560,151,Matches
