Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
31,Paulo Azzi,br BRA,DF,Cagliari,30-300,1994,6,5,426,4.7,0,0,0,0,0,0,2,0,0.5,0.5,0.9,1.4,15,13,26,0.00,0.00,0.00,0.00,0.00,0.11,0.19,0.30,0.11,0.30,Matches
32,Oussama El Azzouzi,ma MAR,MF,Bologna,23-347,2001,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
33,Jacopo Bacci,it ITA,MF,Empoli,19-326,2005,3,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
34,Milan Badelj,hr CRO,MF,Genoa,36-075,1989,22,20,1406,15.6,1,0,1,1,0,0,2,0,1.0,1.0,1.1,2.1,7,81,14,0.06,0.00,0.06,0.06,0.06,0.06,0.07,0.13,0.06,0.13,Matches
35,Mitchel Bakker,nl NED,MF,Atalanta,24-325,2000,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
36,Tommaso Baldanzi,it ITA,"MF,FW",Roma,22-049,2003,28,5,818,9.1,1,1,2,1,0,0,2,0,1.4,1.4,1.0,2.4,38,23,57,0.11,0.11,0.22,0.11,0.22,0.16,0.10,0.26,0.16,0.26,Matches
37,Keita Baldé,sn SEN,FW,Monza,30-064,1995,8,6,464,5.2,1,0,1,1,0,0,1,0,0.5,0.5,0.0,0.5,14,22,23,0.19,0.00,0.19,0.19,0.19,0.10,0.01,0.11,0.10,0.11,Matches
38,Botond Balogh,hu HUN,DF,Parma,22-339,2002,27,21,1873,20.8,0,1,1,0,0,0,4,0,0.2,0.2,0.1,0.3,7,33,1,0.00,0.05,0.05,0.00,0.05,0.01,0.00,0.01,0.01,0.01,Matches
39,Mario Balotelli,it ITA,"FW,MF",Genoa,34-272,1990,6,0,62,0.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,5,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
40,Lameck Banda,zm ZAM,"FW,MF",Lecce,24-102,2001,14,6,574,6.4,0,1,1,0,0,0,1,0,0.9,0.9,1.0,1.9,26,7,41,0.00,0.16,0.16,0.00,0.16,0.13,0.16,0.30,0.13,0.30,Matches
41,Daniel Bandeira,pt POR,MF,Hellas Verona,25-030,2000,11,4,407,4.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,1,25,4,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
42,Mattia Bani,it ITA,DF,Genoa,31-152,1993,17,17,1333,14.8,0,0,0,0,0,0,3,0,0.7,0.7,0.2,0.8,6,23,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06,Matches
43,Antonín Barák,cz CZE,MF,Fiorentina,30-159,1994,1,1,54,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,2,2,5,0.00,0.00,0.00,0.00,0.00,0.13,0.47,0.60,0.13,0.60,Matches
44,Federico Barba,it ITA,DF,Como,31-252,1993,7,5,431,4.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5,25,5,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
45,Nicolò Barella,it ITA,MF,Inter,28-093,1997,30,28,2343,26.0,3,6,9,3,0,0,4,0,2.1,2.1,4.3,6.5,62,214,124,0.12,0.23,0.35,0.12,0.35,0.08,0.17,0.25,0.08,0.25,Matches
46,Davide Bartesaghi,it ITA,"DF,MF",Milan,19-133,2005,3,0,58,0.6,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,2,0,11,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12,Matches
47,Federico Baschirotto,it ITA,DF,Lecce,28-233,1996,35,35,3150,35.0,2,0,2,2,0,0,3,0,1.1,1.1,0.2,1.3,13,63,5,0.06,0.00,0.06,0.06,0.06,0.03,0.00,0.04,0.03,0.04,Matches
48,Daniele Baselli,it ITA,MF,Como,33-060,1992,2,1,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
49,Alessandro Bastoni,it ITA,DF,Inter,26-028,1999,31,29,2234,24.8,1,4,5,1,0,0,6,1,0.8,0.8,2.3,3.1,58,157,77,0.04,0.16,0.20,0.04,0.20,0.03,0.09,0.13,0.03,0.13,Matches
50,Reda Belahyane,ma MAR,MF,Hellas Verona,20-344,2004,22,17,1658,18.4,0,2,2,0,0,0,6,1,0.2,0.2,1.0,1.3,22,73,13,0.00,0.11,0.11,0.00,0.11,0.01,0.06,0.07,0.01,0.07,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
51,Reda Belahyane,ma MAR,MF,Lazio,20-344,2004,6,1,198,2.2,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,4,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
52,Raoul Bellanova,it ITA,DF,Torino,24-359,2000,1,1,87,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,0,5,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.11,0.03,0.11,Matches
53,Raoul Bellanova,it ITA,DF,Atalanta,24-359,2000,31,25,2215,24.6,0,8,8,0,0,0,3,0,1.0,1.0,4.2,5.1,79,82,177,0.00,0.33,0.33,0.00,0.33,0.04,0.17,0.21,0.04,0.21,Matches
54,Andrea Belotti,it ITA,FW,Como,31-142,1993,18,7,593,6.6,2,0,2,2,0,0,1,0,2.5,2.5,0.4,2.8,9,9,33,0.30,0.00,0.30,0.30,0.30,0.37,0.05,0.43,0.37,0.43,Matches
55,Lucas Beltrán,ar ARG,"MF,FW",Fiorentina,24-043,2001,31,19,1779,19.8,5,4,9,3,2,3,4,0,5.2,2.9,2.9,5.8,21,58,87,0.25,0.20,0.46,0.15,0.35,0.26,0.15,0.41,0.14,0.29,Matches
56,Adrian Benedyczak,pl POL,"FW,MF",Parma,24-168,2000,9,2,214,2.4,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,3,3,12,0.00,0.00,0.00,0.00,0.00,0.11,0.02,0.13,0.11,0.13,Matches
57,Ismaël Bennacer,dz ALG,MF,Milan,27-161,1997,6,4,300,3.3,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,8,23,12,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.07,0.02,0.07,Matches
58,Medon Berisha,al ALB,MF,Lecce,21-202,2003,15,6,632,7.0,0,1,1,0,0,0,5,0,0.7,0.7,0.6,1.2,13,39,17,0.00,0.14,0.14,0.00,0.14,0.09,0.08,0.17,0.09,0.17,Matches
59,Adrian Bernabe,es ESP,MF,Parma,23-350,2001,19,18,1355,15.1,1,0,1,1,0,0,1,0,1.2,1.2,1.0,2.2,34,107,18,0.07,0.00,0.07,0.07,0.07,0.08,0.06,0.14,0.08,0.14,Matches
60,Antoine Bernede,fr FRA,MF,Hellas Verona,25-350,1999,11,6,508,5.6,1,0,1,1,0,0,2,0,0.8,0.8,0.4,1.2,7,27,18,0.18,0.00,0.18,0.18,0.18,0.14,0.07,0.21,0.14,0.21,Matches
61,Sam Beukema,nl NED,DF,Bologna,26-175,1998,35,33,3012,33.5,0,1,1,0,0,0,1,0,1.5,1.5,0.9,2.4,27,153,9,0.00,0.03,0.03,0.00,0.03,0.04,0.03,0.07,0.04,0.07,Matches
62,Alessandro Bianco,it ITA,MF,Monza,22-222,2002,31,26,2355,26.2,1,0,1,1,0,0,8,0,1.2,1.2,1.2,2.4,33,121,23,0.04,0.00,0.04,0.04,0.04,0.05,0.05,0.09,0.05,0.09,Matches
63,Alessandro Bianco,it ITA,MF,Fiorentina,22-222,2002,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
64,Jaka Bijol,si SVN,DF,Udinese,26-095,1999,32,32,2880,32.0,1,0,1,1,0,0,11,0,2.0,2.0,0.5,2.5,21,95,8,0.03,0.00,0.03,0.03,0.03,0.06,0.02,0.08,0.06,0.08,Matches
65,Philip Billing,dk DEN,MF,Napoli,28-334,1996,7,1,158,1.8,1,0,1,1,0,0,0,0,1.5,1.5,0.1,1.6,0,4,7,0.57,0.00,0.57,0.57,0.57,0.84,0.07,0.91,0.84,0.91,Matches
66,Cristiano Biraghi,it ITA,DF,Torino,32-252,1992,12,10,888,9.9,0,0,0,0,0,0,0,0,0.4,0.4,1.7,2.1,14,24,31,0.00,0.00,0.00,0.00,0.00,0.04,0.18,0.21,0.04,0.21,Matches
67,Cristiano Biraghi,it ITA,DF,Fiorentina,32-252,1992,8,5,433,4.8,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,3,15,17,0.21,0.00,0.21,0.21,0.21,0.03,0.06,0.10,0.03,0.10,Matches
