Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
422,Guimissongui Ouattara,fr FRA,"DF,FW",Strasbourg,19-201,2005,5.1,1,5,2,40.0,0.98,0.39,0.20,0.50,21.0,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
423,Kassoum Ouattara,fr FRA,"DF,FW",Monaco,20-209,2004,4.3,0,2,1,50.0,0.46,0.23,0.00,0.00,21.2,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
424,Zinédine Ould Khaled,fr FRA,MF,Angers,25-117,2000,3.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
425,Beres Owusu,fr FRA,DF,Saint-Étienne,21-234,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
426,Elisha Owusu,gh GHA,MF,Auxerre,27-185,1997,25.0,1,7,3,42.9,0.28,0.12,0.14,0.33,24.5,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
427,Willian Pacho,ec ECU,DF,Paris S-G,23-207,2001,22.7,0,4,1,25.0,0.18,0.04,0.00,0.00,8.5,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
428,Nicolas Pallois,fr FRA,DF,Nantes,37-234,1987,21.6,0,3,1,33.3,0.14,0.05,0.00,0.00,22.0,0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
429,Nicolas Pays,fr FRA,"FW,MF",Montpellier,21-277,2003,5.0,0,11,1,9.1,2.21,0.20,0.00,0.00,20.0,0,0,0,1.3,1.3,0.12,-1.3,-1.3,Matches
430,Kévin Pedro,fr FRA,DF,Saint-Étienne,19-079,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
431,Jordan Pefok,us USA,FW,Reims,29-015,1996,3.5,1,10,2,20.0,2.89,0.58,0.10,0.50,8.8,0,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
432,Théo Pellenard,fr FRA,DF,Auxerre,31-068,1994,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
433,Timothee Pembele,fr FRA,DF,Le Havre,22-244,2002,12.1,1,8,3,37.5,0.66,0.25,0.13,0.33,13.7,0,0,0,1.3,1.3,0.16,-0.3,-0.3,Matches
434,Faris Pemi Moumbagna,cm CMR,FW,Marseille,24-314,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
435,Óscar Perea,co COL,"MF,DF",Strasbourg,19-226,2005,0.2,0,1,0,0.0,6.43,0.00,0.00,,29.8,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
436,Mathias Pereira Lage,pt POR,"FW,MF",Brest,28-162,1996,16.8,2,35,15,42.9,2.09,0.90,0.06,0.13,17.3,3,0,0,3.2,3.2,0.09,-1.2,-1.2,Matches
437,Lucas Perri,br BRA,GK,Lyon,27-152,1997,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
438,Gaëtan Perrin,fr FRA,"MF,FW",Auxerre,28-338,1996,29.0,10,59,26,44.1,2.04,0.90,0.17,0.38,19.2,5,0,0,6.1,6.1,0.10,+3.9,+3.9,Matches
439,Prosper Peter,ng NGA,MF,Angers,17-275,2007,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
440,Léo Pétrot,fr FRA,DF,Saint-Étienne,28-026,1997,27.3,0,6,3,50.0,0.22,0.11,0.00,0.00,12.1,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches
441,Đorđe Petrović,rs SRB,GK,Strasbourg,25-215,1999,30.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
442,Tom Pouilly,fr FRA,"DF,MF",Lens,21-327,2003,2.9,0,5,2,40.0,1.72,0.69,0.00,0.00,18.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
