Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
69,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,23-135,2001,12.8,23,16,7,11,5,5,21,23.8,16,15,0,15,11,34,15,1,Matches
70,Pablo Barrios,es ESP,MF,Atlético Madrid,21-330,2003,25.2,44,25,21,20,3,22,46,47.8,24,17,5,12,34,78,33,7,Matches
71,Thierno Barry,fr FRA,FW,Villarreal,22-202,2002,24.3,11,8,2,5,4,4,10,40.0,6,15,2,13,0,11,18,0,Matches
72,Marc Bartra,es ESP,DF,Betis,34-116,1991,20.5,26,16,17,9,0,12,20,60.0,8,33,21,12,30,56,141,0,Matches
73,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19-302,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
74,Augusto Batalla,ar ARG,GK,Rayo Vallecano,29-011,1996,29.0,4,2,4,0,0,4,6,66.7,2,0,0,0,0,4,12,4,Matches
75,Rafael Bauza,es ESP,MF,Espanyol,20-101,2005,2.0,5,3,3,1,1,4,7,57.1,3,3,1,2,0,5,5,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,30-091,1995,11.1,3,2,0,3,0,0,2,0.0,2,4,0,4,1,4,10,0,Matches
77,Donny van de Beek,nl NED,MF,Girona,28-023,1997,15.8,29,18,17,7,5,13,26,50.0,13,19,3,16,10,39,12,0,Matches
78,Luken Beitia,es ESP,DF,Real Sociedad,20-315,2004,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,Matches
79,Ismael Bekhoucha,ma MAR,"MF,DF",Getafe,20-172,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,Matches
80,Héctor Bellerín,es ESP,DF,Betis,30-053,1995,6.4,13,7,7,4,2,10,17,58.8,7,5,3,2,6,19,21,0,Matches
81,Jude Bellingham,eng ENG,MF,Real Madrid,21-316,2003,24.6,55,31,16,25,14,26,39,66.7,13,32,2,30,25,80,19,1,Matches
82,Fran Beltrán,es ESP,MF,Celta Vigo,26-097,1999,23.9,42,30,19,18,5,19,49,38.8,30,23,5,18,24,66,32,4,Matches
83,Carlos Benavídez,uy URU,MF,Alavés,27-042,1998,4.4,12,9,6,4,2,4,8,50.0,4,4,2,2,8,20,11,1,Matches
84,Iker Benito,es ESP,"FW,MF",Osasuna,22-274,2002,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0,Matches
85,Yuri Berchiche,es ESP,DF,Athletic Club,35-090,1990,18.7,32,20,18,11,3,19,30,63.3,11,20,3,17,20,52,47,2,Matches
86,Álex Berenguer,es ESP,"FW,MF",Athletic Club,29-311,1995,23.0,29,13,4,16,9,13,26,50.0,13,18,2,16,9,38,17,0,Matches
87,Marc Bernal,es ESP,MF,Barcelona,17-350,2007,2.7,8,6,2,5,1,7,8,87.5,1,5,1,4,1,9,4,0,Matches
88,Juan Bernat,es ESP,"DF,MF",Villarreal,32-071,1993,2.4,9,7,7,1,1,4,5,80.0,1,3,1,2,1,10,4,0,Matches
89,Juan Bernat,es ESP,"MF,DF",Getafe,32-071,1993,7.7,18,12,8,5,5,6,11,54.5,5,9,3,6,2,20,8,0,Matches
90,Juan Berrocal,es ESP,DF,Getafe,26-007,1999,11.0,14,7,10,4,0,10,13,76.9,3,4,2,2,13,27,52,0,Matches
91,Antonio Blanco,es ESP,MF,Alavés,24-292,2000,26.6,60,37,20,36,4,31,71,43.7,40,27,6,21,39,99,43,1,Matches
92,Daley Blind,nl NED,DF,Girona,35-063,1990,27.9,41,24,23,14,4,25,39,64.1,14,29,8,21,24,65,85,1,Matches
93,Adama Boiro,es ESP,DF,Athletic Club,22-323,2002,11.2,20,11,11,7,2,10,14,71.4,4,8,3,5,12,32,26,1,Matches
94,Enzo Boyomo,cm CMR,DF,Osasuna,23-216,2001,29.2,61,37,42,15,4,26,33,78.8,7,33,19,14,36,97,114,3,Matches
95,Enzo Boyomo,cm CMR,DF,Valladolid,23-216,2001,3.0,6,2,4,2,0,3,3,100.0,0,4,3,1,1,7,7,0,Matches
96,Darko Brašanac,rs SRB,MF,Leganés,33-088,1992,17.3,26,11,5,15,6,9,17,52.9,8,24,11,13,15,41,31,0,Matches
97,Tajon Buchanan,ca CAN,MF,Villarreal,26-092,1999,3.3,7,4,5,2,0,5,8,62.5,3,4,0,4,1,8,1,0,Matches
98,Ante Budimir,hr CRO,FW,Osasuna,33-293,1991,29.1,20,9,3,11,6,3,12,25.0,9,18,4,14,2,22,19,0,Matches
99,Manu Bueno,es ESP,"MF,FW",Sevilla,20-288,2004,1.3,4,3,0,1,3,1,2,50.0,1,0,0,0,0,4,2,0,Matches
100,Endika Buján,es ESP,FW,Athletic Club,22-115,2003,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
101,Pau Cabanes,es ESP,"MF,FW",Villarreal,20-083,2005,1.8,4,4,0,3,1,3,4,75.0,1,5,0,5,3,7,2,1,Matches
102,Pau Cabanes,es ESP,"MF,FW",Alavés,20-083,2005,2.0,7,2,4,2,1,5,11,45.5,6,1,0,1,0,7,1,0,Matches
103,Leandro Cabrera,uy URU,DF,Espanyol,33-328,1991,29.0,37,21,26,8,3,17,30,56.7,13,34,24,10,28,65,188,2,Matches
104,Fernando Calero,es ESP,"DF,MF",Espanyol,29-239,1995,5.3,12,6,9,3,0,5,6,83.3,1,11,6,5,13,25,31,0,Matches
105,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,22-182,2002,12.2,42,26,23,16,3,19,33,57.6,14,24,8,16,18,60,23,0,Matches
106,Sergio Camello,es ESP,FW,Rayo Vallecano,24-090,2001,12.6,9,3,2,5,2,4,6,66.7,2,8,1,7,4,13,16,0,Matches
107,José Campaña,es ESP,MF,Las Palmas,31-345,1993,12.4,20,15,7,11,2,10,18,55.6,8,8,0,8,18,38,19,2,Matches
108,Peio Canales,es ESP,"MF,FW",Athletic Club,20-114,2005,2.1,2,2,0,0,2,1,1,100.0,0,1,0,1,2,4,1,0,Matches
109,Antonio Candela,it ITA,DF,Valladolid,25-014,2000,8.6,9,6,6,2,1,4,9,44.4,5,10,6,4,6,15,26,0,Matches
110,Sergi Canós,es ESP,"MF,FW",Valencia,28-098,1997,4.0,11,7,3,4,4,4,10,40.0,6,5,1,4,5,16,4,0,Matches
111,Cárdenas,es ESP,GK,Rayo Vallecano,28-044,1997,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
112,Irvin Cardona,fr FRA,"FW,MF",Espanyol,27-276,1997,6.7,8,5,2,4,2,6,16,37.5,10,5,1,4,4,12,10,0,Matches
113,Marc Cardona,es ESP,"FW,DF",Las Palmas,29-307,1995,1.2,2,1,1,1,0,0,1,0.0,1,0,0,0,0,2,0,0,Matches
114,Sergi Cardona,es ESP,DF,Villarreal,25-307,1999,31.5,67,45,41,19,7,46,74,62.2,28,50,7,43,35,102,116,1,Matches
115,Johnny Cardoso,us USA,MF,Betis,23-233,2001,21.7,51,28,12,31,8,20,50,40.0,30,26,12,14,46,97,58,1,Matches
116,Carmona,es ESP,DF,Sevilla,23-102,2002,30.0,77,55,48,21,8,37,70,52.9,33,32,10,22,63,140,88,3,Matches
117,Sergio Carreira,es ESP,"MF,DF",Celta Vigo,24-210,2000,16.4,27,16,15,6,6,14,24,58.3,10,18,2,16,17,44,35,0,Matches
118,Dani Carvajal,es ESP,DF,Real Madrid,33-120,1992,6.8,12,8,7,3,2,9,12,75.0,3,8,3,5,10,22,19,1,Matches
119,William Carvalho,pt POR,MF,Betis,33-034,1992,4.3,5,3,1,4,0,3,5,60.0,2,5,1,4,3,8,4,0,Matches
120,Marc Casado,es ESP,MF,Barcelona,21-239,2003,17.9,44,25,7,30,7,20,41,48.8,21,20,5,15,22,66,22,1,Matches
121,Catena,es ESP,DF,Osasuna,30-195,1994,30.2,43,25,32,9,2,25,41,61.0,16,35,21,14,31,74,193,1,Matches
122,Maximiliano Caufriez,be BEL,DF,Valencia,28-084,1997,1.0,1,1,1,0,0,1,1,100.0,0,2,1,1,1,2,4,0,Matches
123,Dani Ceballos,es ESP,MF,Real Madrid,28-277,1996,10.8,35,19,15,15,5,16,27,59.3,11,15,3,12,13,48,9,1,Matches
124,Franco Cervi,ar ARG,"FW,MF",Celta Vigo,30-350,1994,3.0,8,3,2,6,0,3,8,37.5,5,4,0,4,8,16,7,0,Matches
125,Raúl Chasco,es ESP,DF,Valladolid,21-240,2003,1.4,4,1,3,1,0,2,4,50.0,2,1,0,1,2,6,2,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
126,Pep Chavarría,es ESP,"DF,FW",Rayo Vallecano,27-031,1998,26.4,42,32,28,13,1,26,42,61.9,16,31,8,23,26,68,103,1,Matches
127,Walid Cheddira,ma MAR,FW,Espanyol,27-109,1998,6.8,5,0,1,1,3,0,1,0.0,1,4,0,4,1,6,6,0,Matches
128,Chema,es ESP,MF,Real Madrid,20-016,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
129,Julián Chicco,ar ARG,"MF,DF",Leganés,27-118,1998,3.3,11,7,3,6,2,5,8,62.5,3,2,0,2,3,14,9,0,Matches
130,Chiquinho,pt POR,"MF,FW",Mallorca,25-095,2000,1.6,1,0,0,1,0,0,7,0.0,7,3,0,3,2,3,0,0,Matches
131,Andreas Christensen,dk DEN,DF,Barcelona,29-031,1996,1.3,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,3,0,Matches
132,Jasper Cillessen,nl NED,GK,Las Palmas,36-019,1989,25.9,1,0,1,0,0,1,4,25.0,3,0,0,0,0,1,11,2,Matches
133,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,31-056,1994,21.0,45,22,23,21,1,20,40,50.0,20,28,7,21,34,79,57,3,Matches
134,Seydouba Cissé,gn GUI,MF,Leganés,24-090,2001,23.2,47,30,17,22,8,19,39,48.7,20,23,1,22,11,58,40,1,Matches
135,Silvi Clúa,es ESP,MF,Girona,20-102,2005,1.8,8,7,4,3,1,4,6,66.7,2,1,0,1,2,10,6,0,Matches
136,Eray Cömert,ch SUI,"DF,MF",Valladolid,27-096,1998,17.8,21,12,13,8,0,11,18,61.1,7,27,15,12,21,42,64,1,Matches
137,Santi Comesaña,es ESP,MF,Villarreal,28-218,1996,27.1,84,48,43,32,9,41,71,57.7,30,50,18,32,19,103,50,1,Matches
138,Diego Conde,es ESP,GK,Villarreal,26-195,1998,20.8,2,2,2,0,0,2,4,50.0,2,0,0,0,1,3,9,2,Matches
139,Tomás Conechny,ar ARG,"FW,MF",Alavés,27-042,1998,8.8,12,9,4,6,2,8,24,33.3,16,13,2,11,6,18,8,0,Matches
140,Copete,es ESP,DF,Mallorca,25-213,1999,16.0,27,15,16,10,1,10,11,90.9,1,23,15,8,17,44,116,2,Matches
141,Iker Córdoba,es ESP,DF,Valencia,19-181,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
142,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,30-063,1995,8.3,8,2,4,1,3,4,14,28.6,10,9,0,9,4,12,7,0,Matches
