Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
87,Tomáš Čvančara,cz CZE,FW,Gladbach,24-271,2000,9.0,2,23,9,39.1,2.57,1.00,0.09,0.22,14.0,0,0,0,3.7,3.7,0.16,-1.7,-1.7,Matches
88,Finn Dahmen,de GER,GK,Augsburg,27-045,1998,17.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
89,Thomas Dähne,de GER,GK,Holstein Kiel,31-127,1994,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
90,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,29-130,1996,4.0,1,7,2,28.6,1.73,0.49,0.14,0.50,22.6,1,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches
91,Ameen Al-Dakhil,be BEL,DF,Stuttgart,23-066,2002,4.8,0,1,0,0.0,0.21,0.00,0.00,,19.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
92,Bence Dárdai,hu HUN,MF,Wolfsburg,19-107,2006,14.3,1,11,1,9.1,0.77,0.07,0.09,1.00,14.8,0,0,0,1.0,1.0,0.10,0.0,0.0,Matches
93,Lukas Daschner,de GER,"MF,FW",Bochum,26-222,1998,4.6,1,8,4,50.0,1.75,0.87,0.13,0.25,15.8,0,0,1,2.7,1.9,0.24,-1.7,-0.9,Matches
94,Alphonso Davies,ca CAN,DF,Bayern Munich,24-190,2000,17.3,1,17,3,17.6,0.98,0.17,0.06,0.33,18.3,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches
95,Olivier Deman,be BEL,DF,Werder Bremen,25-035,2000,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
96,Ermedin Demirović,ba BIH,FW,Stuttgart,27-047,1998,20.1,13,57,25,43.9,2.84,1.25,0.23,0.52,11.9,0,0,2,12.7,11.0,0.19,+0.3,+2.0,Matches
97,Justin Diehl,de GER,"FW,DF",Stuttgart,20-165,2004,1.2,1,7,1,14.3,6.06,0.87,0.14,1.00,15.8,0,0,0,1.0,1.0,0.14,0.0,0.0,Matches
98,Eric Dier,eng ENG,DF,Bayern Munich,31-116,1994,15.3,2,9,5,55.6,0.59,0.33,0.22,0.40,6.3,0,0,0,1.1,1.1,0.12,+0.9,+0.9,Matches
99,Junior Dina Ebimbe,fr FRA,"MF,FW",Eint Frankfurt,24-171,2000,3.3,0,8,0,0.0,2.46,0.00,0.00,,16.5,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches
100,Eren Dinkçi,de GER,"MF,FW",Freiburg,23-149,2001,13.3,0,14,3,21.4,1.05,0.23,0.00,0.00,19.0,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
101,Ritsu Doan,jp JPN,"FW,MF",Freiburg,26-329,1998,30.8,9,59,20,33.9,1.92,0.65,0.15,0.45,16.9,1,0,0,6.5,6.5,0.12,+2.5,+2.5,Matches
102,Danilho Doekhi,nl NED,DF,Union Berlin,26-315,1998,33.0,1,32,4,12.5,0.97,0.12,0.03,0.25,10.5,0,0,0,2.6,2.6,0.08,-1.6,-1.6,Matches
103,Niklas Dorsch,de GER,MF,Augsburg,27-116,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
104,Niklas Dorsch,de GER,MF,Heidenheim,27-116,1998,14.3,2,7,2,28.6,0.49,0.14,0.29,1.00,21.7,1,0,0,0.9,0.9,0.13,+1.1,+1.1,Matches
105,Patrick Drewes,de GER,GK,Bochum,32-096,1993,21.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
106,Tim Drexler,de GER,DF,Hoffenheim,20-066,2005,4.0,0,2,2,100.0,0.50,0.50,0.00,0.00,27.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
107,Marvin Ducksch,de GER,FW,Werder Bremen,31-065,1994,25.9,7,66,25,37.9,2.54,0.96,0.09,0.24,17.5,8,1,2,9.5,7.9,0.12,-2.5,-1.9,Matches
108,Julien Duranville,be BEL,"FW,MF",Dortmund,19-006,2006,3.1,0,5,2,40.0,1.62,0.65,0.00,0.00,17.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
109,Adam Dźwigała,pl POL,"DF,MF",St. Pauli,29-228,1995,3.5,0,5,0,0.0,1.43,0.00,0.00,,11.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
110,Johannes Eggestein,de GER,FW,St. Pauli,27-003,1998,20.3,3,34,10,29.4,1.68,0.49,0.06,0.20,15.7,0,1,2,4.7,3.1,0.09,-1.7,-1.1,Matches
111,Maximilian Eggestein,de GER,MF,Freiburg,28-154,1996,30.6,2,33,10,30.3,1.08,0.33,0.06,0.20,19.8,0,0,0,1.8,1.8,0.05,+0.2,+0.2,Matches
112,Hugo Ekitike,fr FRA,FW,Eint Frankfurt,22-325,2002,26.5,15,107,40,37.4,4.04,1.51,0.13,0.35,15.3,1,1,3,20.9,18.6,0.17,-5.9,-4.6,Matches
113,Elif Elmas,mk MKD,MF,RB Leipzig,25-229,1999,0.5,0,2,0,0.0,4.09,0.00,0.00,,10.9,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches
