Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
602,Kenan Yıldız,tr TUR,"FW,MF",Juventus,20-007,2005,24.7,807,1018,79.3,12413,3182,461,517,89.2,284,347,81.8,46,104,44.2,2,4.2,4.0,-2.2,48,64,43,12,106,Matches
603,Mattia Zaccagni,it ITA,FW,Lazio,29-329,1995,29.0,842,1111,75.8,13620,3618,442,486,90.9,299,391,76.5,74,164,45.1,6,4.4,3.9,+1.6,52,49,37,4,111,Matches
604,Nicola Zalewski,pl POL,"DF,FW",Roma,23-108,2002,5.9,194,265,73.2,3235,575,102,118,86.4,71,96,74.0,16,32,50.0,0,0.8,0.6,-0.8,10,10,14,7,17,Matches
605,Nicola Zalewski,pl POL,DF,Inter,23-108,2002,3.3,138,167,82.6,2247,390,69,74,93.2,49,59,83.1,12,19,63.2,1,0.9,1.3,+0.1,9,6,7,6,9,Matches
606,Andre-Frank Zambo Anguissa,cm CMR,MF,Napoli,29-176,1995,28.8,1145,1361,84.1,17156,4324,643,724,88.8,411,468,87.8,57,84,67.9,4,2.3,2.4,+1.7,25,118,17,2,130,Matches
607,Francesco Zampano,it ITA,DF,Venezia,31-223,1993,17.9,405,554,73.1,6545,2081,217,248,87.5,151,210,71.9,28,58,48.3,2,0.8,0.7,+1.2,12,26,16,5,41,Matches
608,Nicolò Zaniolo,it ITA,FW,Fiorentina,25-313,1999,3.8,52,74,70.3,859,175,24,29,82.8,22,30,73.3,4,6,66.7,0,0.2,0.2,-0.2,5,4,1,0,5,Matches
609,Nicolò Zaniolo,it ITA,"FW,MF",Atalanta,25-313,1999,4.0,85,102,83.3,1138,252,53,58,91.4,25,33,75.8,3,6,50.0,2,0.5,0.6,+1.5,7,5,5,0,13,Matches
610,Alessandro Zanoli,it ITA,"FW,DF",Genoa,24-220,2000,18.6,322,484,66.5,5303,1650,164,201,81.6,125,179,69.8,22,55,40.0,0,1.6,1.0,-1.6,19,10,20,12,27,Matches
611,Duván Zapata,co COL,FW,Torino,34-040,1991,6.5,87,126,69.0,1223,191,52,75,69.3,18,25,72.0,9,11,81.8,0,0.5,0.5,-0.5,9,4,4,1,7,Matches
