Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
48,Altay Bayındır,tr TUR,GK,Manchester Utd,27-027,1998,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50.0,Matches
49,Jan Bednarek,pl POL,DF,Southampton,29-029,1996,28.1,7,0,0,31,13,0,1,56,19,0,1,0,106,71,37,65.7,Matches
50,Armel Bella Kotchap,de GER,DF,Southampton,23-151,2001,3.7,0,0,0,3,2,0,0,5,5,0,0,0,19,6,5,54.5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
51,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-318,1998,17.6,3,0,0,29,43,1,41,10,22,0,0,0,58,10,18,35.7,Matches
52,Rodrigo Bentancur,uy URU,MF,Tottenham,27-320,1997,16.9,7,0,0,31,10,1,4,36,20,0,0,0,111,35,27,56.5,Matches
53,Daniel Bentley,eng ENG,GK,Wolves,31-302,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,100.0,Matches
54,Sander Berge,no NOR,MF,Fulham,27-086,1998,24.1,6,0,0,31,10,0,3,21,28,0,0,0,122,28,21,57.1,Matches
55,Lucas Bergvall,se SWE,MF,Tottenham,19-098,2006,13.5,3,0,0,20,17,0,21,24,19,0,0,0,73,9,8,52.9,Matches
56,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22-146,2002,26.4,1,0,0,17,17,3,96,40,50,0,1,1,97,19,42,31.1,Matches
57,Beto,gw GNB,FW,Everton,27-100,1998,15.1,2,0,0,31,20,14,4,3,6,0,0,0,33,86,95,47.5,Matches
58,Philip Billing,dk DEN,MF,Bournemouth,28-334,1996,2.0,1,0,0,3,2,0,10,5,5,0,0,0,14,6,4,60.0,Matches
59,Yves Bissouma,ml MLI,MF,Tottenham,28-254,1996,14.4,7,0,0,23,18,0,2,16,29,0,1,0,78,5,7,41.7,Matches
60,Oscar Bobb,no NOR,FW,Manchester City,21-303,2003,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
61,Lamare Bogarde,nl NED,"DF,MF",Aston Villa,21-126,2004,5.3,2,0,0,8,11,0,0,1,6,0,0,0,13,6,6,50.0,Matches
62,Willy Boly,ci CIV,DF,Nott'ham Forest,34-097,1991,1.7,1,0,0,1,0,0,0,3,1,0,0,0,5,6,2,75.0,Matches
63,Sven Botman,nl NED,DF,Newcastle Utd,25-119,2000,2.6,1,0,0,4,2,0,0,4,4,0,0,0,8,11,6,64.7,Matches
64,Jarrod Bowen,eng ENG,"FW,MF",West Ham,28-142,1996,30.2,1,0,0,19,49,10,101,16,24,0,0,0,120,12,46,20.7,Matches
65,Conor Bradley,nir NIR,DF,Liverpool,21-306,2003,6.3,3,0,0,9,10,0,6,3,8,0,0,0,36,7,7,50.0,Matches
66,Jarrad Branthwaite,eng ENG,DF,Everton,22-318,2002,27.1,4,0,0,12,18,1,5,25,20,0,0,0,89,55,41,57.3,Matches
67,James Bree,eng ENG,DF,Southampton,27-212,1997,10.9,0,0,0,2,5,0,27,8,13,0,0,0,62,12,7,63.2,Matches
68,Ben Brereton,cl CHI,FW,Southampton,26-023,1999,5.0,1,0,0,4,8,1,5,0,2,0,0,0,16,9,7,56.3,Matches
69,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-036,1998,6.7,1,0,0,4,13,2,9,4,3,0,0,0,30,1,9,10.0,Matches
70,Armando Broja,al ALB,FW,Everton,23-243,2001,3.7,1,0,0,6,4,3,1,1,1,0,0,0,9,18,21,46.2,Matches
71,David Brooks,wls WAL,"FW,MF",Bournemouth,27-307,1997,9.5,3,0,0,8,16,0,45,5,5,0,0,0,45,7,10,41.2,Matches
72,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-137,1996,1.1,1,0,0,4,6,0,0,0,6,0,0,0,8,0,2,0.0,Matches
73,Santiago Bueno,uy URU,DF,Wolves,26-183,1998,18.7,2,0,0,26,5,0,0,15,21,0,0,0,43,35,31,53.0,Matches
74,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-139,2004,16.4,7,0,0,35,33,3,41,11,32,0,0,0,77,17,35,32.7,Matches
75,Cameron Burgess,au AUS,DF,Ipswich Town,29-202,1995,17.1,0,0,0,6,4,1,0,14,12,0,0,0,44,44,22,66.7,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
76,Dan Burn,eng ENG,DF,Newcastle Utd,33-002,1992,34.0,10,0,0,30,11,5,3,25,19,0,0,2,95,134,65,67.3,Matches
77,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-169,1994,10.3,1,0,0,4,11,0,46,10,11,0,0,0,50,8,21,27.6,Matches
78,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,22-127,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
79,Moisés Caicedo,ec ECU,"MF,DF",Chelsea,23-190,2001,34.2,10,0,0,62,55,0,9,49,64,2,1,0,203,33,15,68.8,Matches
80,Tom Cairney,sct SCO,MF,Fulham,34-111,1991,5.7,3,1,0,8,18,0,19,4,5,0,0,0,45,4,8,33.3,Matches
81,Jens Cajuste,se SWE,MF,Ipswich Town,25-274,1999,20.1,2,0,0,22,21,0,9,25,20,0,0,0,99,12,22,35.3,Matches
82,Riccardo Calafiori,it ITA,DF,Arsenal,22-357,2002,10.3,4,0,0,16,6,3,11,9,18,0,0,0,30,22,13,62.9,Matches
83,Dominic Calvert-Lewin,eng ENG,FW,Everton,28-056,1997,17.7,2,0,0,27,23,27,6,6,7,0,0,0,34,84,80,51.2,Matches
84,Diego Carlos,br BRA,DF,Aston Villa,32-057,1993,9.2,1,0,0,11,1,1,0,5,3,0,0,0,36,11,10,52.4,Matches
85,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-254,2002,5.1,1,0,0,5,10,1,10,3,9,0,0,0,30,2,6,25.0,Matches
86,Casemiro,br BRA,MF,Manchester Utd,33-077,1992,14.8,3,0,0,17,18,3,19,12,46,0,0,0,89,31,17,64.6,Matches
87,Kaelan Casey,eng ENG,DF,West Ham,20-195,2004,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
88,Matty Cash,pl POL,DF,Aston Villa,27-277,1997,21.0,6,0,0,25,18,1,34,21,29,0,2,0,65,17,19,47.2,Matches
89,Eiran Cashin,ie IRL,DF,Brighton,23-183,2001,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,66.7,Matches
90,Timothy Castagne,be BEL,DF,Fulham,29-157,1995,18.3,1,0,0,15,6,1,37,22,29,0,1,0,57,34,35,49.3,Matches
91,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-310,1999,11.8,1,0,0,10,15,1,7,19,16,0,0,0,56,22,19,53.7,Matches
92,Trevoh Chalobah,eng ENG,DF,Chelsea,25-310,1999,9.3,2,0,0,8,7,0,3,9,6,0,0,0,26,23,11,67.6,Matches
93,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-084,1997,8.5,2,0,0,11,6,0,9,3,5,0,0,0,25,2,9,18.2,Matches
94,Youssef Chermiti,pt POR,"FW,MF",Everton,20-352,2004,0.5,1,0,0,1,1,2,1,0,0,0,0,0,0,2,1,66.7,Matches
95,Federico Chiesa,it ITA,FW,Liverpool,27-198,1997,0.5,0,0,0,2,1,0,2,0,0,0,0,0,4,0,1,0.0,Matches
96,Ben Chilwell,eng ENG,DF,Crystal Palace,28-141,1996,1.5,1,0,0,2,2,2,3,4,4,0,0,0,12,3,3,50.0,Matches
97,Chiquinho,pt POR,MF,Wolves,25-095,2000,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,Matches
98,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,27-222,1997,1.5,0,0,0,1,0,0,5,5,1,0,0,0,2,0,0,,Matches
99,Ryan Christie,sct SCO,MF,Bournemouth,30-078,1995,23.5,9,0,0,43,31,1,48,30,33,0,0,0,182,20,28,41.7,Matches
100,Harry Clarke,eng ENG,DF,Ipswich Town,24-070,2001,4.2,3,1,1,5,1,0,5,4,3,0,1,0,17,10,4,71.4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
101,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-169,2000,12.1,2,0,0,15,21,3,13,7,17,0,0,0,68,7,17,29.2,Matches
102,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,34-036,1991,5.4,1,0,0,2,2,0,7,3,8,0,0,0,10,1,7,12.5,Matches
103,Conor Coady,eng ENG,DF,Leicester City,32-075,1993,16.0,2,0,0,7,2,1,0,13,8,0,2,0,50,13,19,40.6,Matches
104,Séamus Coleman,ie IRL,DF,Everton,36-212,1988,2.2,1,0,0,0,1,0,3,1,2,0,0,0,7,2,1,66.7,Matches
105,Nathan Collins,ie IRL,DF,Brentford,24-011,2001,36.0,5,0,0,25,28,6,8,33,22,2,0,0,154,116,63,64.8,Matches
106,Toby Collyer,eng ENG,MF,Manchester Utd,21-128,2004,2.0,0,0,0,2,4,0,0,2,9,0,0,0,17,3,1,75.0,Matches
107,Levi Colwill,eng ENG,DF,Chelsea,22-074,2003,32.0,8,0,0,42,19,4,13,32,30,0,1,0,110,76,51,59.8,Matches
108,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-097,1997,32.3,8,0,0,48,10,3,132,40,42,0,1,0,186,41,34,54.7,Matches
109,Maxwel Cornet,ci CIV,FW,Southampton,28-226,1996,0.8,1,0,0,0,1,1,3,0,5,0,0,0,2,3,0,100.0,Matches
110,Vladimír Coufal,cz CZE,DF,West Ham,32-262,1992,9.7,4,0,0,20,14,0,21,8,11,0,0,1,29,18,12,60.0,Matches
111,Woyo Coulibaly,fr FRA,DF,Leicester City,25-356,1999,1.2,1,0,0,2,1,0,0,5,4,0,0,0,14,0,3,0.0,Matches
112,Aaron Cresswell,eng ENG,DF,West Ham,35-147,1989,7.5,2,0,0,3,2,0,28,8,5,0,0,0,29,7,6,53.8,Matches
113,Marc Cucurella,es ESP,DF,Chelsea,26-293,1998,30.2,10,1,1,34,33,3,29,25,39,0,0,0,119,30,51,37.0,Matches
114,Jorge Cuenca,es ESP,DF,Fulham,25-175,1999,2.9,0,0,0,2,2,0,1,2,2,0,0,0,9,6,3,66.7,Matches
115,Matheus Cunha,br BRA,"MF,FW",Wolves,25-349,1999,27.6,4,0,0,42,70,8,132,17,21,0,1,0,123,10,28,26.3,Matches
116,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-214,1998,7.3,0,0,0,12,17,3,3,1,9,0,0,0,18,10,27,27.0,Matches
117,Diogo Dalot,pt POR,DF,Manchester Utd,26-054,1999,31.0,5,0,0,40,9,4,65,37,39,0,1,0,164,38,21,64.4,Matches
118,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-312,2000,30.5,2,0,0,18,27,6,135,26,43,0,0,0,162,12,26,31.6,Matches
119,Danilo,br BRA,"MF,FW",Nott'ham Forest,24-012,2001,3.0,0,0,0,1,0,0,3,3,3,0,0,0,18,1,1,50.0,Matches
120,Jayden Danns,eng ENG,MF,Liverpool,19-115,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
121,Kevin Danso,at AUT,DF,Tottenham,26-234,1998,6.4,0,0,0,7,9,0,1,3,5,0,0,0,22,18,9,66.7,Matches
122,Ben Davies,wls WAL,DF,Tottenham,32-017,1993,12.5,4,0,0,14,6,0,4,12,10,0,0,0,36,47,38,55.3,Matches
123,Leif Davis,eng ENG,DF,Ipswich Town,25-119,2000,28.5,5,1,0,25,30,3,148,25,26,0,2,0,111,33,22,60.0,Matches
124,Craig Dawson,eng ENG,DF,Wolves,35-005,1990,10.8,2,0,0,6,5,2,0,9,3,0,0,2,35,21,11,65.6,Matches
125,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,33-317,1991,18.1,2,0,0,16,18,5,140,7,9,0,0,0,63,5,16,23.8,Matches
