Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
67,James Bree,eng ENG,DF,Southampton,27-212,1997,10.9,0,4,1,25.0,0.37,0.09,0.00,0.00,22.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
68,Ben Brereton,cl CHI,FW,Southampton,26-023,1999,5.0,0,11,1,9.1,2.20,0.20,0.00,0.00,17.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Matches
69,Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,27-036,1998,6.7,1,10,6,60.0,1.49,0.89,0.10,0.17,15.4,0,0,0,1.5,1.5,0.15,-0.5,-0.5,Matches
70,Armando Broja,al ALB,FW,Everton,23-243,2001,3.7,0,4,0,0.0,1.08,0.00,0.00,,17.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
71,David Brooks,wls WAL,"FW,MF",Bournemouth,27-307,1997,9.5,2,22,10,45.5,2.32,1.06,0.09,0.20,16.8,0,0,0,2.2,2.2,0.10,-0.2,-0.2,Matches
72,Emi Buendía,ar ARG,"MF,FW",Aston Villa,28-137,1996,1.1,0,5,0,0.0,4.59,0.00,0.00,,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches
73,Santiago Bueno,uy URU,DF,Wolves,26-183,1998,18.7,0,6,3,50.0,0.32,0.16,0.00,0.00,14.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
74,Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,20-139,2004,16.4,4,34,10,29.4,2.08,0.61,0.12,0.40,17.8,0,0,0,3.8,3.8,0.11,+0.2,+0.2,Matches
75,Cameron Burgess,au AUS,DF,Ipswich Town,29-202,1995,17.1,0,10,2,20.0,0.58,0.12,0.00,0.00,9.6,0,0,0,1.1,1.1,0.11,-1.1,-1.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
76,Dan Burn,eng ENG,DF,Newcastle Utd,33-002,1992,34.0,1,20,5,25.0,0.59,0.15,0.05,0.20,9.9,0,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches
77,Wes Burns,wls WAL,"FW,DF",Ipswich Town,30-169,1994,10.3,0,7,1,14.3,0.68,0.10,0.00,0.00,18.3,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
78,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,22-127,2003,0.1,0,1,1,100.0,12.86,12.86,0.00,0.00,15.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
79,Moisés Caicedo,ec ECU,"MF,DF",Chelsea,23-190,2001,34.2,1,18,3,16.7,0.53,0.09,0.06,0.33,25.1,0,0,0,0.8,0.8,0.04,+0.2,+0.2,Matches
80,Tom Cairney,sct SCO,MF,Fulham,34-111,1991,5.7,1,6,2,33.3,1.06,0.35,0.17,0.50,22.4,1,0,0,0.2,0.2,0.04,+0.8,+0.8,Matches
81,Jens Cajuste,se SWE,MF,Ipswich Town,25-274,1999,20.1,1,10,1,10.0,0.50,0.05,0.10,1.00,21.3,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
82,Riccardo Calafiori,it ITA,DF,Arsenal,22-357,2002,10.3,2,10,6,60.0,0.97,0.58,0.20,0.33,14.1,0,0,0,0.9,0.9,0.09,+1.1,+1.1,Matches
83,Dominic Calvert-Lewin,eng ENG,FW,Everton,28-056,1997,17.7,3,48,18,37.5,2.72,1.02,0.06,0.17,12.2,0,0,0,6.3,6.3,0.13,-3.3,-3.3,Matches
84,Diego Carlos,br BRA,DF,Aston Villa,32-057,1993,9.2,0,4,1,25.0,0.43,0.11,0.00,0.00,6.7,0,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
85,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-254,2002,5.1,2,12,5,41.7,2.37,0.99,0.17,0.40,14.7,0,0,0,2.5,2.5,0.21,-0.5,-0.5,Matches
86,Casemiro,br BRA,MF,Manchester Utd,33-077,1992,14.8,1,28,8,28.6,1.89,0.54,0.04,0.13,18.8,0,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches
87,Kaelan Casey,eng ENG,DF,West Ham,20-195,2004,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
88,Matty Cash,pl POL,DF,Aston Villa,27-277,1997,21.0,1,11,5,45.5,0.52,0.24,0.09,0.20,18.5,0,0,0,0.4,0.4,0.03,+0.6,+0.6,Matches
89,Eiran Cashin,ie IRL,DF,Brighton,23-183,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
90,Timothy Castagne,be BEL,DF,Fulham,29-157,1995,18.3,0,8,3,37.5,0.44,0.16,0.00,0.00,14.0,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
91,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-310,1999,11.8,3,11,4,36.4,0.93,0.34,0.27,0.75,15.1,0,0,0,1.2,1.2,0.11,+1.8,+1.8,Matches
92,Trevoh Chalobah,eng ENG,DF,Chelsea,25-310,1999,9.3,0,6,2,33.3,0.65,0.22,0.00,0.00,10.8,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches
93,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-084,1997,8.5,1,12,3,25.0,1.41,0.35,0.08,0.33,18.3,0,0,0,1.2,1.2,0.10,-0.2,-0.2,Matches
94,Youssef Chermiti,pt POR,"FW,MF",Everton,20-352,2004,0.5,0,3,1,33.3,6.00,2.00,0.00,0.00,13.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
95,Federico Chiesa,it ITA,FW,Liverpool,27-198,1997,0.5,0,4,2,50.0,7.83,3.91,0.00,0.00,20.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
96,Ben Chilwell,eng ENG,DF,Crystal Palace,28-141,1996,1.5,0,2,1,50.0,1.29,0.65,0.00,0.00,27.6,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
97,Chiquinho,pt POR,MF,Wolves,25-095,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
98,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,27-222,1997,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
99,Ryan Christie,sct SCO,MF,Bournemouth,30-078,1995,23.5,2,33,12,36.4,1.40,0.51,0.06,0.17,19.6,0,0,0,1.8,1.8,0.06,+0.2,+0.2,Matches
100,Harry Clarke,eng ENG,DF,Ipswich Town,24-070,2001,4.2,0,1,1,100.0,0.24,0.24,0.00,0.00,4.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
101,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-169,2000,12.1,0,14,2,14.3,1.16,0.17,0.00,0.00,19.4,0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
102,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,34-036,1991,5.4,0,2,0,0.0,0.37,0.00,0.00,,31.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
103,Conor Coady,eng ENG,DF,Leicester City,32-075,1993,16.0,0,1,1,100.0,0.06,0.06,0.00,0.00,9.2,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
104,Séamus Coleman,ie IRL,DF,Everton,36-212,1988,2.2,0,1,1,100.0,0.45,0.45,0.00,0.00,10.5,0,0,0,0.6,0.6,0.57,-0.6,-0.6,Matches
105,Nathan Collins,ie IRL,DF,Brentford,24-011,2001,36.0,2,17,6,35.3,0.47,0.17,0.12,0.33,10.7,0,0,0,2.5,2.5,0.15,-0.5,-0.5,Matches
106,Toby Collyer,eng ENG,MF,Manchester Utd,21-128,2004,2.0,0,1,0,0.0,0.50,0.00,0.00,,6.2,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches
107,Levi Colwill,eng ENG,DF,Chelsea,22-074,2003,32.0,1,16,3,18.8,0.50,0.09,0.06,0.33,9.9,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
108,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-097,1997,32.3,1,14,4,28.6,0.43,0.12,0.07,0.25,23.4,1,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
109,Maxwel Cornet,ci CIV,FW,Southampton,28-226,1996,0.8,0,1,0,0.0,1.25,0.00,0.00,,18.8,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
110,Vladimír Coufal,cz CZE,DF,West Ham,32-262,1992,9.7,0,4,1,25.0,0.41,0.10,0.00,0.00,16.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
111,Woyo Coulibaly,fr FRA,DF,Leicester City,25-356,1999,1.2,0,2,1,50.0,1.65,0.83,0.00,0.00,19.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
112,Aaron Cresswell,eng ENG,DF,West Ham,35-147,1989,7.5,0,3,0,0.0,0.40,0.00,0.00,,29.8,2,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
113,Marc Cucurella,es ESP,DF,Chelsea,26-293,1998,30.2,4,22,9,40.9,0.73,0.30,0.18,0.44,16.5,0,0,0,2.6,2.6,0.12,+1.4,+1.4,Matches
114,Jorge Cuenca,es ESP,DF,Fulham,25-175,1999,2.9,0,1,0,0.0,0.35,0.00,0.00,,13.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
115,Matheus Cunha,br BRA,"MF,FW",Wolves,25-349,1999,27.6,15,99,41,41.4,3.59,1.49,0.15,0.37,20.7,12,0,0,8.0,8.0,0.08,+7.0,+7.0,Matches
116,Patson Daka,zm ZAM,"FW,MF",Leicester City,26-214,1998,7.3,1,15,4,26.7,2.07,0.55,0.07,0.25,14.8,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
117,Diogo Dalot,pt POR,DF,Manchester Utd,26-054,1999,31.0,0,23,5,21.7,0.74,0.16,0.00,0.00,15.6,0,0,0,2.0,2.0,0.09,-2.0,-2.0,Matches
118,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24-312,2000,30.5,2,34,7,20.6,1.12,0.23,0.06,0.29,17.5,3,0,0,2.7,2.7,0.08,-0.7,-0.7,Matches
119,Danilo,br BRA,"MF,FW",Nott'ham Forest,24-012,2001,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
120,Jayden Danns,eng ENG,MF,Liverpool,19-115,2006,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
121,Kevin Danso,at AUT,DF,Tottenham,26-234,1998,6.4,0,6,2,33.3,0.94,0.31,0.00,0.00,17.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
122,Ben Davies,wls WAL,DF,Tottenham,32-017,1993,12.5,0,5,1,20.0,0.40,0.08,0.00,0.00,17.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
123,Leif Davis,eng ENG,DF,Ipswich Town,25-119,2000,28.5,1,14,2,14.3,0.49,0.07,0.07,0.50,20.4,2,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches
124,Craig Dawson,eng ENG,DF,Wolves,35-005,1990,10.8,0,5,1,20.0,0.46,0.09,0.00,0.00,8.5,0,0,0,0.5,0.5,0.10,-0.5,-0.5,Matches
125,Kevin De Bruyne,be BEL,"MF,FW",Manchester City,33-317,1991,18.1,4,54,15,27.8,2.99,0.83,0.07,0.27,21.8,8,0,0,4.2,4.2,0.08,-0.2,-0.2,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
126,Bobby De Cordova-Reid,jm JAM,FW,Leicester City,32-098,1993,8.3,1,7,3,42.9,0.85,0.36,0.14,0.33,25.1,0,0,0,0.8,0.8,0.11,+0.2,+0.2,Matches
127,Liam Delap,eng ENG,FW,Ipswich Town,22-092,2003,28.4,12,65,29,44.6,2.29,1.02,0.15,0.34,15.9,0,2,2,9.3,7.7,0.12,+2.7,+2.3,Matches
128,Sepp van den Berg,nl NED,DF,Brentford,23-142,2001,26.7,0,17,5,29.4,0.64,0.19,0.00,0.00,10.5,0,0,0,1.8,1.8,0.11,-1.8,-1.8,Matches
129,Justin Devenny,nir NIR,MF,Crystal Palace,21-212,2003,4.8,1,8,4,50.0,1.68,0.84,0.13,0.25,21.2,1,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
